0.00 17.80 SPEAKER_03  welcome back to western kabuki my name is caleb as always i am joined by my co-hosts
2484.64 2554.16 SPEAKER_05  know yeah yeah it's it's it's gorgeous it's fine story is a little nonsensical but uh it really just a very solid action game and uh but like that that's that's kind of why i stopped even bothering covering them in any capacity because it's like it's all meaningless yeah there's just nothing there they're literally like grums just wants the money and that's all he wants and also like you're not you're never going to convince these people that he's wrong because they are so ideologically like driven to support him and that's what i found when i was covering the ember stuff was like i would i would show these people all these receipts and i'm like wait a second i thought i thought gamers were against all these shitty monetization practices that are in the industry um because because that was like my real light bulb moment when i was going through this stuff is like you guys for years have been bitching about microtransactions and life service and and kickstarter scams and all this kind of stuff i was like this thing checks every single box and you're still okay with it so now i just know you are not to be bothered with you you are you don't care as long as this guy says what you like to hear
2554.16 2589.08 SPEAKER_03  yeah that's exactly it he's like the least likely spokesperson for all this and yet and i actually i don't remember i tried to engage stupidly when i had that i had that thread that he the one that he responded to i tried to engage one of them in good faith and um when i was going back and forth with him like he didn't even read my thread of all the stuff the bad stuff he's like i don't care about that he's he's anti-woke that's the only thing that i care about and that's why i like him and he was still trying to like contest trying to get me and he i don't know people were saying like people were transvestigating me people were doing all kinds of crazy stuff yeah the transvestigation i knew was
2589.08 2603.32 SPEAKER_01  awesome uh but that's that that's what you get that was your big mistake is you tried to take one of these guys seriously and then they start transvestigating because like they they're not serious people they don't actually like there's no convincing that's why like that kind of like i'm
2603.32 2611.00 SPEAKER_03  done now i'm only speaking to them in beast speak that's what you guys get i tried yeah and now and
2611.00 2617.48 SPEAKER_01  because not everyone's doing beast speak we have the the real game awards right pretty much yeah that's
2617.48 2623.06 SPEAKER_03  what happens like nick tried to to engage with these people in good faith and now he's gamer hitler
2623.06 2963.88 SPEAKER_05  that's like the funniest part too is like if they actually went through my old tweets and stuff like i've been i've always advocated like you shouldn't you shouldn't like uh a lot of a lot of writers would like constantly use gamer as like a derogatory term like you need to be a little bit careful about that because that is part of your audience like people that do play games so maybe like don't put that target on your back so i've always avoided doing that because i'm like there's you know like i don't want to attract those people by you know derogatory you know using it as a derogatory term because like if you're writing about games unfortunately gamers are your audience yeah you know it's just how much how much you how much time you put into moderate g gamers yeah well and like i have lots of experience with this because i took over the escapist which at the time was the most hated brand in video games like no no questions asked it was the home of our audience at tldr on that really fast yeah so uh i took over the escapist in early 2018 uh but before that the brand was essentially dead it was just being run by yahtzee uh and if you watch any game reviews online you probably heard of zero punctuation um so he was pretty much the only one left by the time her parent company enthusiasts gaming had bought the escapist uh and so when they bought the escapist they brought back a lot of the former escapist team like russ pitts who used to be an editor-in-chief there um bob chipman and a few other people yeah bob himself yeah um and russ pitts ends up getting basically fired because he gets involved at the gamer gate crowd again by writing an article that wasn't really that just a dumb decision about you know ethics and journalism again uh and so they they fired him got rid of him and then they're like you how about do you want to take over the escapist you know like uh i guess let's let's let's let's do it and so i become editor chief i was actually managing editor video for a few months before that um and my first project was actually going to e3 uh and i had never met yahtzee in person before and so uh first of all if you haven't met yahtzee dude's like six five and i'm five nine so and all my editors my video editors that came with us are also like the same height as me so it just looks like he's like walking around like he's our dad leading us around leading us around e3 so uh yeah that's that's our first big project together and like the very first thing i do is set him up with an interview with john romero and he's talked a bunch of shit about john romero's games so we have them film like this little little skit of like john just staring down yahtzee um and that's kind of how i got introduced the escapist audience and like they're like oh yeah you understand the assignment um so we had a really we had a really good like content output from e3 uh and then basically russ gets fired and he essentially had promised a job to somebody that he couldn't even promise a job to so eventually they let that guy go too and then i became editor-in-chief um and so my my job was to rebuild that brand from the ground up and make it not hated um so that sounds like a crazy horrible task i'll be honest it was uh really scary because like my my websites had a few hundred thousand you know users every every month but i had never worked on the scale of a million subscriber youtube channel and also as far as i knew a channel that would be extremely hostile to any games journalist coming in because of the gamer gate audience um so my five years running the escapist was like rebuilding the team there uh rebuilding the content output introducing people to a new audience really helping yahtzee break out of his shell because he had never really worked with a team before um and then just endless and endless and endless amounts of moderation to my goal was essentially make room for the silent majority of normal people that actually want to talk about games and not culture worship and so we we actually achieved that and then uh after gamers uh well enthusiast gaming sold us to gamers and i worked uh on escapist for one more year under gamers and then gamers fired me uh and that's how second wind got started but like our community that exists on second wind is the escapist community uh that what we built over the year which became a super positive yeah super positive friendly kind community that like have very different political opinions across the board but it's a normal space to be in where you can be a liberal person can be in there with a conservative and they will have a conversation and it not try to kill each other that genuinely does like that's not common these days no no like at all it takes endless amounts of moderation on my part like i like i i became obsession uh in a bad way where i would respond to things and all that and i've you know i've gotten over that over the years but um like we were we we had to be so careful with the escapist where one article one video whatever one comment that would be taken out of context from like the larger games industry or games media could have sank us um and all the reputation that we built and so you know we got we got we we had a really good team that all believed in the vision that we wanted to build with that and like build something that like i want to be able to talk about my freaking hobbies online and not be attacked every five seconds and like we we built that that's amazing it must be
2963.88 2978.34 SPEAKER_04  so difficult though to keep that equilibrium in a in industry that is like for whatever reason become like a nexus of this sort of like crazy culture war bullshit
2978.34 3034.54 SPEAKER_05  uh yeah it can be it can be really difficult um especially like you know when people make hit pieces hit piece videos about you and then those people all show back up or whatever um the the current like state of culture war and all that has made it really difficult because they just anything you talk about they're there anything it doesn't matter what game what topic completely unrelated they'll come in and try to comment on things uh but good news is youtube has a lot of really good filtering options and so when you moderate as much as i do you kind of learn their keywords because they all talk the exact same way and so like pc you can literally just you can filter these people out because they all use the same words every single one of them and so we really don't even see it anymore on second wind that's good uh you know all the all the normal slurs that
3034.54 3041.34 SPEAKER_03  they love to use obviously uh but i mean your top 10 most most filtered slurs that is not what i was
3041.34 3048.52 SPEAKER_05  asking you know what i think i think the internet would have a real reason to cancel me if i did that
3048.52 3055.82 SPEAKER_01  uh but like just they the gamer awards would shift you into the best journalists of the year awards
3055.82 3105.58 SPEAKER_05  after that uh you know like dei for example anybody that comes in and comments with that you just know they're not doing anything smart with it yep the dei esg all the different ways they spell journalists all the different ways they spell woke there's all kinds of uh it's it's very fascinating i should send you guys a screenshot of it because they have different ways to spell all these different things and it gets more stupid the longer it goes on because they keep trying to get around the comment filters because they know they exist it's like it's like on tiktok when people say sewer slide yeah i love that one yeah i could i could do a whole podcast and just how fun it is to moderate dummies yeah okay um let's see do we want to explain what the real game awards are
3105.58 3109.86 SPEAKER_03  yeah as i say do we want to do that real quick we got about yeah let's go through the categories i want to
3109.86 3122.14 SPEAKER_01  i want to know what the categories are and like what's what's going on here yeah and how it's going to take over the the the fake old lame gamer awards yeah this is the real one because the the original game
3122.14 3162.62 SPEAKER_03  awards i guess are soy and gay um so we're on to the real game awards you have to pay 30 to vote in uh first up the real game awards best action game so of course we got stellar blade uh we got black myth wukong space marine 2 final fantasy uh i don't know which one are we on now i don't know how to read roman is it the seven remit is it the revert yeah and then indiana jones um which indiana jones is by the way kind of doing a u-turn there they're deciding that it is no longer woke it is based i don't know why as long as they like the game it's not woke yeah it was like when barbie came
3162.62 3183.34 SPEAKER_01  out and all the like all the conservatives were like this is like anti-woke thingy and then like everyone loved the movie and like in the in the same breath after they were like yeah we hate the wokeness in media but we really love this movie uh it was actually a great thing to bring your family to like they just do that in the same like instantaneously they'll shift yeah there's a couple
3183.34 3213.84 SPEAKER_03  of like i guess ostensibly normal categories we're going to skip that and get into the freak shit um waifu of the year no they're gooners no yeah this is the good stuff of course we've got eve from stellar blade she's gonna sweep she's stellar blade is gonna sweep this thing um we've got tiffa from and it's because grums ended wokeness yeah uh bernice from zenless zone zero i've not heard of that or played it but it got very horny yeah zenless zone zero is the game that is that
3213.84 3218.52 SPEAKER_04  came out to do that there was like all this controversy about today so so it's a gotcha
3218.52 3228.22 SPEAKER_05  game i think it's a phone game am i right or am i wrong no it's a it's a it's like a roguelike action game on consoles too okay but it's from the same people that made gengin impact apparently
3228.22 3237.98 SPEAKER_04  they they they did an update that did not allow you to like basically do upskirts as easily they like made the characters turn kind of transparent when you looked at them from certain angles that's
3237.98 3242.96 SPEAKER_03  what we were talking about okay yeah so so grums that was grums flipped out and then within hours
3242.96 3249.62 SPEAKER_04  they like patched it because they're so we did it read it loud idiots so now you can look up the skirts
3249.62 3267.90 SPEAKER_03  of the of you can look up bernice's skirt now and in this photo what i find very funny is like her uh her breasts are soaking sopping wet for some reason none of the rest of her skin is the rest of her skin looks normal but her like reflective light off of her breasts which is very funny
3267.90 3272.86 SPEAKER_01  it sucks that these people have to appeal to just horny perverts like this jesus christ
3272.86 3286.84 SPEAKER_03  yeah and the last is juliette from the lollipop chainsaw repop i don't know what that is but she's got pigtails in her hair so if you vote for that you are a pedophile i think okay i think she is
3286.84 3295.28 SPEAKER_04  in high school lollipop chainsaw was written by james gunn actually and it's again it's another remastered game from like a decade ago something like that yeah that came out i remember that when i was
3295.28 3305.36 SPEAKER_03  like in high school wasn't james gunn didn't he is it real or is that is that woke uh anti-woke guys calling him a pedophile he had some dicey stuff didn't he you know here's the deal with james
3305.36 3355.56 SPEAKER_04  gunn so i don't know if you guys are familiar with trauma the movie studio they made the toxic avenger but their whole thing was that they made these like unbelievably crude disgusting sort of like comedy horror movies in the 80s and 90s and up to the early 2000s that's where james gunn cut his filmmaking teeth so his whole thing like everything he started out doing before he like went mainstream was like gross out horror and like really sort of crude like comedy with lots of nudity in it and so in like the early 2010s like right when twitter started he like made a couple of like edgelord jokes where it would be like where the punchline was like oh i'm i'm having sex with someone who's underage and like they aren't funny but like they were obviously jokes it was obviously
3355.56 3365.22 SPEAKER_03  not like to be titillating it was so it's like if somebody found my old like blog from when i was a teenager where i was doing edgy jokes and they were like wow caleb what's this even though yes that's
3365.22 3371.84 SPEAKER_04  exactly what it was like and he apologized of course and i feel like it got him taken off of a movie for a
3371.84 3424.00 SPEAKER_03  while it did he was supposed to be uh was it uh guardians of the galaxy he got fired from that but then he got rehired to it so yeah okay well happy ending i suppose uh there's a bunch of other normal ones let's get to them to the meat of the videos because we really could do like an entire episode about this and it would be fun but we're already um rounding home on this one so we've got uh the worst games journalist then we'll go to the best uh the worst games journalist the stars are here the stars are out tonight we've got alyssa mercante uh paul tassi tassi tassi tassi paul tassi i don't know him he's the one uh who is not my twitter mutual so i don't know if i want you to win or lose because of that paul but uh you know you you're down the rank uh then we've got nick and we've got rebecca valentine who i i've never spoken to but we are our our mutuals so really heavy hitters here
3424.00 3431.68 SPEAKER_01  um i i'll be honest i i'm about to donate my 30 to vote in this yeah um i thought you were
3431.68 3437.92 SPEAKER_03  bankrupt well you're gonna go into debt not for not for gaming i'm gonna western kabuki patreon money
3437.92 3446.50 SPEAKER_05  yeah we gotta stop doing our uh financial transparency on second wind all in i sent the
3446.50 3478.88 SPEAKER_01  leap i'm in the leap tier i sent one thousand three hundred dollars oh no uh who you voting for uh you know probably just uh i have to really consider the options here okay i think the person who um would cause the most stress among all these people so probably like no offense i don't know enough about this this here but i feel like well you see i guess they want the most the person who will cause the most stress they probably want
3478.88 3488.66 SPEAKER_03  like a little bit she seems like a very nice person i don't understand that who do i hate no not you but the gamers why is she why do they hate oh because she did the uh she's like
3488.66 3511.84 SPEAKER_05  an original gamer gate veteran right um no i don't think so not really but she did an article really upset them on ign right yeah it was the uh she wrote she wrote an article talking about the uh workplace of the wukong studio uh and there was sexual or i mean uh just not treating the woman right there as far as i know and like yeah okay so then i guess i don't know you know what
3511.84 3522.66 SPEAKER_01  she yeah she's hitler but i i gotta say i'm really rooting for you nick i mean i think it would be the greatest on here of your life to be the worst journalist of all time right yeah i did post on
3522.66 3527.56 SPEAKER_05  my blue sky that uh it would be the first award i won as a journalist and i would be honored to put it
3527.56 3536.50 SPEAKER_01  on my tombstone yeah yeah well i'm really i'm rooting for you i hope i choose i just know that
3536.50 3543.18 SPEAKER_03  that uh giga bear paid money to vote for you nick whatever happens whatever happens you can hang
3543.18 3572.14 SPEAKER_05  put that feather in your cap that's uh with like the the smash jt like legal fund i i was i made a joke about it i was like can you imagine like having to explain to your wife and kids that i have to use your college fund because i made 50 videos about an article a woman on the internet that i don't even know who's like half my age yeah and like like having to explain to your family this is why you cannot go to college and so he he ended up making a whole video because he was so mad i said that
3572.14 3584.34 SPEAKER_03  that's so good is there any other like love to go through the interrogatories with your wife on that step by step it would be so goddamn funny i just i just imagine his wife just looking i'm like
3584.34 3590.42 SPEAKER_05  the fuck are you talking about go to your shed is there any other categories that are like
3590.42 3596.42 SPEAKER_03  particularly insane yeah we don't wrap this up uh with the their best games journalists oh okay
3596.42 3606.50 SPEAKER_01  we've got i don't info information pimps on there damn i'm not yeah i wish uh john f trent who as i
3606.50 3612.48 SPEAKER_03  understand is just like he's a christian gamer he's the holy game journalist i don't know what he he was
3612.48 3629.12 SPEAKER_05  the guy he was the editor-in-chief of bounding in the comics if you've ever and it's like another gamer gate website and i don't know if he left or whatever or got fired i don't know how you get fired from the site that's that shit but if he did uh then he went now he's at this park place website
3629.12 3642.68 SPEAKER_03  and just posting the same bullshit hell yeah uh i don't know savvy i think alex you're mutuals with this savvy person though if this is who i think it is i've noticed that before i don't
3642.68 3649.78 SPEAKER_05  know what savvy story she's she's madam savvy on twitter madam savvy yeah i've noticed that you
3649.78 3653.84 SPEAKER_03  are mutuals with her she's that's a little suspicious alex what's going on yeah wait is this
3653.84 3659.90 SPEAKER_01  your like rightward turn are you are you becoming anti-woke what's going on uh i listen this is fake
3659.90 3666.38 SPEAKER_04  news i just went to this person i am not mutuals with this person okay she does not follow me i do not
3666.38 3670.64 SPEAKER_03  follow her we need a fact checker for this i mean we need to jimmy pull that up
3670.64 3690.28 SPEAKER_04  uh but i'm looking at her i'm her first tweet that is not pinned is delete hr delete moderation from voice chats uh this is all about um how people should there should be no um yeah this is
3690.28 3694.18 SPEAKER_03  not the person who i thought it was i'm sorry alex that that was that was disinfo that i did against
3694.18 3697.70 SPEAKER_04  you and i apologize all right well i will be contacting my lawyer so empty out your kid's
3697.70 3721.72 SPEAKER_03  college phone she uh sounds like she kind of kicks ass at least good for her uh let's see endy endy endy mehan how do you how do you pronounce that i've seen this guy around i don't really know i just call him endy moron anymore yeah he i don't know i just know him as just like an another like tertiary ghoul in this whole scheme that i but i don't know like really what he does or what's he like
3721.72 3732.70 SPEAKER_05  what is he known for he's just a guy to me he just makes the same kind of youtube bait uh but his his new thing is claiming that he has all these inside sources at studios yeah i've seen a
3732.70 3737.72 SPEAKER_03  lot of that he claims to and it'll be like turn out to be just like some guy on reddit dm'd him and
3737.72 3755.96 SPEAKER_05  he didn't verify yeah like the only like to his credit the only one that i've seen that looks even official is when smash gt shared the uh obsidian email from the guy which was basically like he tried to make it a big whole story and the email basically amounted to watch what you say on twitter
3755.96 3762.30 SPEAKER_03  just don't get in trouble yeah i love yeah they're trying to censor our employees it's like yeah don't
3762.30 3767.56 SPEAKER_01  fucking say weird stuff on twitter i i love that in this world the the best journalist you can be is
3767.56 3785.10 SPEAKER_03  just like a youtuber yeah that's that's the world that they want at this point yeah um and then there's kirsch kirschy kirschy i don't know i have no idea that's a vtuber uh who is a cat girl with a halo over one ear i don't care about her i hope she loses this was stolen from vera dark
3785.10 3793.40 SPEAKER_01  oh my god wait yeah no they're not they have no respect on her they need to put respect on her name
3793.40 3802.06 SPEAKER_03  vera if you're listening push your glasses up all the way and then people will respect you you can't see seriously they can't vote for you if you can't see
3802.06 3810.30 SPEAKER_04  i really heard about your eyesight like maybe you need bifocals if that's what i was about to say down over here on the bridge of your nose like that all the time
3810.30 3824.82 SPEAKER_03  okay uh we could do the whole thing like i said uh there's a lot going on there but uh we're are we at the hour yet yeah we're we're we're over an hour we are um before i guess we end
3824.82 3830.76 SPEAKER_01  are we gonna are we gonna be doing our own western kabuki gamer awards is that are we announcing it in
3830.76 3858.54 SPEAKER_03  advance i think so right yeah okay absolutely yeah we are uh okay fuck it uh we are doing our own western kabuki not game award mind you gamer award um that episode is coming soon for the gamer awards it's all your your largest gamer your horniest gamer all different kinds of gamers are going to be there it's going to be a veritable redfish bluefish but for gamers and i can't wait for it it's gonna be so
3858.54 3864.02 SPEAKER_01  good i think one of the categories not to give too much away but probably gonna be like best gunner
3864.02 3868.62 SPEAKER_03  biggest gunner it's gonna be it's gonna be oh you know the horn that's like the that's that's the
3868.62 3873.74 SPEAKER_01  big one oh yeah that that's the the premier award um but yeah it's gonna be a lot of fun so stick
3873.74 3880.58 SPEAKER_03  keep an eye out for that one yeah um nick my friend thank you so much for spending your time with us
3880.58 3899.98 SPEAKER_05  um absolutely is there anything you'd like to plug uh just uh come check out second wind uh we are normal gamers uh that oh yeah that's like stuttering craze big tagline is normal men that they are normal men but all they do is complain about woke shit all the time uh so we we have actual
3899.98 3916.92 SPEAKER_03  least listenable podcasts of all the research i think i said this on the episode that we use their shit i i literally look at like hitler stuff and gore and and conspiracy theories for this show and i had a harder time getting through side scrollers than i think anything that i've ever
3916.92 3980.50 SPEAKER_05  had to for any of this shit yeah my my last interaction with like the whole gamer great crowd was going on to his podcast to talk about the real game awards because i was like i want to know what this is yeah and he basically you know egged me on and then he didn't tell me when i came on to the show before i came on the show that melanie mack was going to be there because oh yeah so that was a really oh unfortunately did she eat butter in front of you i don't know what she was doing off camera she might have been i can't believe i can't believe she fucking did that so anyways i'm like i'm on this podcast and i'm like i'm questioning them about the real game awards and i'm also like one of the big conspiracy theories that went around was uh that seven million dollar payout to uh the studio behind blackbath wukong that like a dei consulting agency extorted them of seven million dollars yeah so i go on the podcast and i'm like how can you prove this and i was like they're like well no we were just talking about it was like no you said it happened well that's not our job to prove it happened i was like but you said it happened like it is that
3980.50 3989.90 SPEAKER_03  is your job if you say that then your job is to back that claim up yeah someone else says it you can talk about it sure but if you're the original source of the claim you gotta back that well they
3989.90 4002.04 SPEAKER_05  weren't even the original source but they were like confirming it on their show well that's just yeah and so like it's just they're like it's not our responsibility and i just i'm sitting there questioning them on everything and they think they're like sitting there thinking they won after
4002.04 4008.92 SPEAKER_03  i leave the show yeah did you consider that it it it like i guess substantiated their narrative it felt
4008.92 4025.64 SPEAKER_05  true to them they they if they if you told them the earth was flat they would go try to find it and then find out it's around and still tell you it's flat yeah like that guy that just went to antarctica and to prove it to himself the world is flat i saw that in front of the show yeah um but as
4025.64 4038.72 SPEAKER_04  far as i want to vouch strongly for second wind uh i i watch fully ramblamatic and design delve every week it's always i love uh your channel so employee oh too right yeah we are we are full co-op
4038.72 4054.70 SPEAKER_05  uh funded on patreon and obviously after some of the hit pieces that went out we've we've uh taken some hits this year that i'm trying to work around now so uh if you like actually talking about video games and not culture war nonsense you will really like second wind hell yeah go check it out
4054.70 4063.44 SPEAKER_03  nick thanks so much uh everybody else we will see you next week see ya
4063.44 4068.92 SPEAKER_01  you
4068.92 4080.92 None  you you you you you you
