0.00 17.22 SPEAKER_05  we're now we're now recording look at that well fantastic after having that whole discussion of
2099.70 2148.78 SPEAKER_01  it was actually loop bar that we went to have you been there loop bar it was it was a it was a proper meat market like we were clearly on a hen do just all having a nice laugh like a massive piss up and then these guys just sort of surrounded us um okay yeah and were sort of like quite insistent on you know dancing with us even though we were like very nicely like oh no you know we're just kind of sort of having a night out with our mate tonight like that's not really that kind of vibe and they would not let it go it was like a meat market in there what was do you recall any of their sort of approaches any of the lines the approaches gen genuinely were like just wedging themselves in between me and like somebody i like one of my pals so what like a flanking maneuver genuine like like killer whales with the uh with the seal it was like that it's it's terrible what they do to
2148.78 2156.86 SPEAKER_03  to sharking men these days you know you can if you go to sea world you can actually hear them crying you know they make them wear socks it's not fair
2156.86 2162.90 SPEAKER_01  nobody was wearing any socks in this club it was you're just stroking the glass at sea world
2162.90 2178.22 SPEAKER_03  you belong in an all bar one free you should be drinking a peroni somewhere talking to a guy called smithy yes exactly that you should be wearing really tight jeans and a tight t-shirt was it tight
2178.22 2183.40 SPEAKER_04  jeans tight shirts there was a lot of deep v's a lot of a lot of dvs it feels like a window
2183.40 2196.56 SPEAKER_01  it was it was it's bordering on australian it was very it was very bordering on australian but they weren't australian they were very much loafer bare ankle yeah trouser tight yeah a victorian
2196.56 2200.18 SPEAKER_03  would have been scandalized yeah bare ankle a victorian would have been all over the shop
2200.18 2205.02 SPEAKER_00  these men are far too sexy yeah that's right yeah yeah and then there are no tables in here
2205.02 2225.88 SPEAKER_04  that is your favorite fact because it's so funny it's it's that and joseph fritzel that you can be if i hang on i need to know these two facts well joseph fritzel was covering those table legs there was only room for a certain amount of horniness in that way not stop talking about joseph fritzel the austrian guy who had a basement family yeah yeah just generally because yeah just can't stop
2225.88 2238.72 SPEAKER_03  talking what an insane the craziest thing about fritzel right yeah uh is that subsequently another guy did exactly the same thing in the netherlands and he was austrian as well yes he was exporting it
2238.72 2248.36 SPEAKER_01  and i live with an austrian comedian and i do frequently say yeah hubert and i do talk about this yeah what is it about you lot like love a basement they love a basement they love a basement well we
2248.36 2297.26 SPEAKER_03  were talking about this there's a very revealing story about me i'd been on a few dates with this girl who was american lived in london this was like um august 2020 so stuff was kind of just opening up but it was a lot of like being at her house right drinking or whatever because you had to yeah yeah anyway so we're there and she was living in like one of those big house shares with people who like aren't her friends but they've become friends because they share a house kind of vibe yeah they but some of them were like friends from before and they'd all been out somewhere with some other friends of theirs so they come back and we weren't drunk but it was late it was like 2 a.m we were just still up does joseph fritzel come into this i'm excited you know when well yeah and you know it's that kind of thing where you're still the only reason you're still up is because you're gonna fuck but it has to be late enough for that someone suggests it it's like a whole bit about why we do this whole dance
2297.26 2324.96 SPEAKER_01  for so long like why would you be at their house at 2 a.m having a gin and milk watching a film that you don't care about because you love a gin and milk love a gin and milk that sounds terrible do you know what i mean like they put all these different milks in the gin now but it's always this combination that like someone is back at yours and you've got just like remnants of different house parties you know you've got like odd mix you haven't got anything in specifically so you're like oh can i get you a gin and milk would you would you care for a hooch yeah yeah exactly yeah you dust
2324.96 2344.32 SPEAKER_03  something off can i offer you a tvx yeah would you like some cynar yeah i've got this i've got this fine a 2021 bacardi breezer would that would that please madam pouring a little bit in the glass and swirling it around but the glass is like a peroni half pint glass that you've nicked from the pub
2344.32 2351.54 SPEAKER_01  and it's 2 a.m and still but i think it is a british you know or like an uptight thing let's just go
2351.54 2356.44 SPEAKER_03  into the room with the black mold and have sex yeah exactly let's go and breathe everyone everyone has
2356.44 2362.46 SPEAKER_04  to be like no i'm just i'm just here to watch like yeah the first 50 minutes of lift starring kevin
2362.46 2370.88 SPEAKER_01  heart and have a gin and milk you both have to collude in the illusion that you're just there to watch a film in the middle in the dead of night i was sleeping with a girl for a bit who had black mold
2370.88 2458.50 SPEAKER_03  in her bedroom but her rent was so cheap that she was like i can't complain because then he might figure out how cheap the rent is she's like this is kind of the tax and then while i was there the catalytic converter got nicked off my car outside i'm like they hate air quality around here they really do they loathe it well if you're breathing in that area it's gonna be bad um yeah so yeah i'm there with this girl all these friends come back and they've brought this couple who they're friends with back from the pub as well and they're all like hammered right and the of the couple the girl i think was was british or maybe some other nationality but the guy was definitely dutch and she wasn't dutch that that's the only important element they've gone into the kitchen uh most of the friends along with this girl that i was sleeping with and um i'm chatting to the dutch guy and somehow i think it was maybe not long after the like the dutch guy who did fritzel thing and come out and then so we were i made some joke about it and we were talking about that then his girlfriend comes back in and then we're both having to explain who joseph fritzel is to his girlfriend who somehow had never heard of joseph fritzel she should go to your show well exactly right um watch my new youtube special um and literally and um then uh uh the girl i was sleeping with comes back in and um and she just walks into the room walks into this conversation and just without missing a beat just goes milo are you talking about joseph fritzel again and it was genuinely one of the funniest things anyone has ever said i'm like wow what a perfect like sitcom line read and also
2458.50 2465.04 SPEAKER_04  a damning indictment of your interests i know the man loves fritzel so here's another thing i don't
2465.04 2470.42 SPEAKER_03  love him i'm fascinated by it i don't think he's a good guy i'm not like he's misunderstood he's
2470.42 2475.94 SPEAKER_01  understood i heard something about him potentially getting out but that can't be true i think he is i think
2475.94 2481.12 SPEAKER_03  he's he's got like really bad dementia and it's like compassionate i think he's no longer a threat
2481.12 2486.20 SPEAKER_04  the court has ordered him to only live on the third floor i was gonna say yeah yeah yeah that's
2486.20 2490.94 SPEAKER_01  right he's not allowed to base i just love the idea that for years his wife was just sat there and it
2490.94 2498.50 SPEAKER_03  was just like in their house and she was like ah the pipes weird those house noises that you get in
2498.50 2502.86 SPEAKER_01  austria those screaming noises that sound like our daughter who went missing years ago who you don't
2502.86 2528.72 SPEAKER_03  seem to be that bothered about yeah oh well i got i have a flam cooking in the oven yeah putting on my route one comedian voice well you know the bloody the millennials these days none of them can even do diy couldn't get joseph fritzel now could you they can't even put up a shelf let alone dig their own basement dungeon yeah so uh yes queen i love my dad had a sex dungeon and he built it with his own two hands
2528.72 2552.72 SPEAKER_04  um so sometimes i look at art auctions right um what a segue look because i want to show you this is i want to show you this before the show ends yeah i look at art auctions sometimes more more specifically there's a site that at you know like so a lot of the times when someone dies the contents of the house will just be auctioned off and sometimes even in austria there's some very interesting stuff
2552.72 2557.92 SPEAKER_01  from the basement we've got an extra uh layer of stuff here that we didn't know yet a lot of manacles
2557.92 2568.48 SPEAKER_03  so anyone need those so sometimes vintage manacles mufflers yeah a lot of a lot of foam tiles so i
2568.48 2629.90 SPEAKER_04  browse around sort of some auction houses i know there's some like in south end and variously around the country just looking basically for people who've like for house clearances where there might be like good paintings sure basically oh okay yeah right so like you can you can i found like some you know quote-unquote name brand art with this it's like a hundred pounds it's like this should not be a hundred pounds okay basically yeah this is an original keep calm carry on this is an original dean coon yeah that's right live laugh quickly undust the last one my god i have to i have to stay calm while i off while i lowball the water indiana jones and the semi-detached in basilton um so fiat 500 rolling down the stairs behind him um i found something in my browsings that i didn't want to bid on right but i want to show to you is it a joseph fritzel keepsake oh oh wow oh wow i don't know what's
2629.90 2640.44 SPEAKER_03  better the title or the picture but i think yeah well that alex designed good lord so erotic walking
2640.44 2652.60 SPEAKER_01  stick is something i never thought i would isn't any walking stick erotic if you're a pickup artist if you try hard enough it can be yeah that's right so this is essentially a dildo walking
2652.60 2661.44 SPEAKER_04  stick hybrid yeah that's from the victoria the handle is a penis it's it the handle is a penis it's carved from elephant ivory it's made from a hippo tuss it's made from a hippo tuss do you know
2661.44 2684.58 SPEAKER_01  what cracks me up is that victorian age is that is supposedly the age where you know everything was kind of prudified that's not really a word but like you know before that we were seemingly a lot more sexually liberal as a society and then the victorians you know took away everybody's fun and yet the doctors were wanking women off just because they had an emotion like you know hysteria all that sort of stuff what a time say i mean you can't even get an appointment now
2684.58 2688.92 SPEAKER_04  you have to call 111 and they just talk dirty to you
2688.92 2695.84 SPEAKER_03  that that was very good that was you know yeah you could get on mock the week with people like that
2695.84 2711.64 SPEAKER_01  yeah but they just like they you know they were so prudish in all these ways and yet all this stuff was going on they've got dildos on walking sticks out in the open like if we'd have just let them live they wouldn't have like suppressed everything until we had these like gargoyle sex toys that were
2711.64 2722.40 SPEAKER_03  everywhere and these kind of i was edging for nine hours in a and e waiting waiting to be finished off well the nurses aren't allowed to do it the doctor had to come through now the consultant's gonna have
2722.40 2727.24 SPEAKER_01  gonna have to crank that hog it is political correctness god mad
2727.24 2764.14 SPEAKER_03  but i also so but i think it's um in a serious response to your question i think the victorian period is a lot like the kind of like the gulf theocracies like where it's like it's actually very horny but it's all under the surface yeah which kind of makes it horny all those like argent provocateur say they sell all their most like outre shit in like jibai yeah and it's to like women who are like full niqab but it's all like it behind closed doors all the gears going on underneath something about the kind of suit that like the out the outwards repression of things and then like the the freaky shit going on behind it it's like the kind of the the frontier of
2764.14 2769.92 SPEAKER_01  respectability yeah and everyone's horned up to fuck also like the victorians were fucking they
2769.92 2781.56 SPEAKER_04  were weird they were they had like this the books of the dead and they were completely fascinated especially american victorians yes but they were fascinated like there was a huge fascination with
2781.56 2800.96 SPEAKER_01  like the occult and death uh there was loads of there's a thing where they can trace why so many women like saw especially women like saw apparitions there was a massive sort of ghost story poltergeist emergence really and then they traced it's like the gas lamps i think like it was basically they were
2800.96 2817.44 SPEAKER_04  being gas lit they were literally being gas lit people were you know it's you know it's people were doing cocaine masturbating medically they were constantly inhaling gas fumes yeah it's the all of the all of the um sort of like repressive prudishness yeah it's just the bit that survives 100%
2817.44 2830.78 SPEAKER_01  yeah you know but you know i think you should get the dildo walking stick is the is basically the conclusion to that i don't want it don't you you've showed us it it's in your mind i'm looking at so i know
2830.78 2841.98 SPEAKER_03  just give it a death old wife it'll be fine in fairness you don't know where it's been it's a circumcised penis though interestingly well it's exactly it's provenance uh is unclear
2841.98 2854.80 SPEAKER_01  it's provenance you don't have a um i guess if you put a little sheath over it you can uncircumcise it or you can put a little condom on it to promote to promote safe sex it's sensible to
2854.80 2859.96 SPEAKER_03  do that before you so i would imagine ivory is quite porous oh i don't yeah what if it
2859.96 2863.88 SPEAKER_01  cracked inside you or something well you'd be upset about that as a hippo wouldn't you
2863.88 2867.42 SPEAKER_03  that's what you're like this is an insult you're going around with one tusk i don't know if that
2867.42 2876.76 SPEAKER_01  was your dad like oh well my dad lived an honorable life as a hippo and now and now in death he's making
2876.76 2882.86 SPEAKER_04  like you know some some like body baronet have a little chuckle yeah if you're a hippo that's like
2882.86 2886.16 SPEAKER_03  one of the options they give you at the funeral director it's like would you like him made into
2886.16 2896.04 SPEAKER_04  an erotic walking stick okay that's that's the construction i'd like to give in my own death i would like some part of me to be made into an erotic walking stick that's right they've used his
2896.04 2906.58 SPEAKER_01  real penis they've taxidermied it yeah i wonder if you could um because you can get kits where you make a a dildo vibrator out of your own penis i thought you'd be like a taxidermy
2906.58 2967.16 SPEAKER_03  your dead relatives got it on amazon we're gonna do that you can get now oh yeah amazing really yeah we turned in into an erotic walking yeah she loves it she's with us every day yeah you know and it's like well she always had a walking she's inside us now oh no i don't know if you've ever been given one of these booklets by a funeral director but they're given an erotic walking stick they're so they're so funny like i had this do they actually give you like weird options when because when my dad died we didn't i didn't go to the funeral director because it was during the fringe so my mum and my sisters went yeah and then but then when my mum died i i went with my sisters and like i was like cracking up in there because they're giving you all these options and then like i could tell i was really putting the i think he thought i was like mad with grief or something and i was like no dude come on i'm like this is so funny like the coffin booklet i'm like going through you could get a coffin made out of cheap wood with like a scottish flag painted on it this is what my
2967.16 2981.04 SPEAKER_01  so i've literally got a bit at the moment about how my dad is such a tight-ass scottish bastard that he worries that we're going to spend money on his coffin and he's like put me in a box put me in a cardboard box yeah so that's probably why the cheap one has a scottish flag on it yeah yeah yeah yeah
2981.04 3028.10 SPEAKER_03  um and then uh and then i was like joking about it and then the funeral director was like i'll just let you choose in private and then so when he when he came back i was like i was like pointing at the my sisters were like making suggestions i was like no i think we should have this one and i'm like pointing at the scottish flag and he's like and he's like what and i'm like laughing and he's like oh did your did your mother have some kind of connection to scotland or and then i'm like oh no she just hated the scotch i just thought it'd be ironic and then he like looked visibly shocked and i'm like no i didn't no that's not no i'm grieving all right but then at the back it's like would you like i made into a paperweight and i'm like a bit fucking hefty paperweight it's just like mad stuff like they'll like take their fingerprints and make it into a necklace like i'm just like this is this is getting to the point of like i'll put her teeth on a chain why not
3028.10 3038.54 SPEAKER_04  at some point this goes from paying commemoration into trophy yeah i've got like i've got a necklace of
3038.54 3047.68 SPEAKER_02  all my uncle's ears yeah would you like a fleshlight molded on your dead wife's pussy we can do that it's an option that we offer here and we'll handle it we'll do all the molding you don't need to
3047.68 3056.00 SPEAKER_01  worry we're very respectful tear ducts if we get them within 48 hours should also provide some lube which is uh so we do have to act faster
3056.00 3061.30 SPEAKER_02  we can bottle what's left of her juices um
3061.30 3069.50 SPEAKER_01  oh god it's met like it's such a commodification of like oh it's all like four million pounds yeah
3069.50 3084.02 SPEAKER_04  like yeah yeah it's the same thing as like a like a marriage right like it's it's like well i guess i guess i'm well you're you're getting married so you know do you want the do you want the the flowers boo bad flowers or do you want the flowers yeah
3084.02 3095.22 SPEAKER_03  oh and the funeral photographers are a ripoff yeah they're in front of the coffin and they're like right let's do a sad one all right let's do one with just the deceased
3095.22 3098.22 SPEAKER_04  yeah dropping her up in a chair
3098.22 3100.22 SPEAKER_01  the cake as well
3100.22 3107.48 SPEAKER_03  is it the two stand-up models it's like her and the grim reefer on top of the her and fucking
3107.48 3112.76 SPEAKER_01  paddington bear on the top of the cake why is paddington now the symbol of royal death what has
3112.76 3127.98 SPEAKER_03  happened there i don't know but i love it i know i'm obsessed with this he's an immigrant they would not have liked him um yeah and uh my my girlfriend works for studio canal and apparently they're not keen on this unauthorized use of paddington but there's nothing they can do about it
3127.98 3143.16 SPEAKER_04  what's it to serve an injunction to like it yeah to like twitter users yeah they serve an injunction to like you know linda 184617 like hey please you must stop associating you must stop paddington mustn't be a psychopath so weird
3143.16 3167.90 SPEAKER_03  well so i was actually talking about this with alice yesterday on twitter because she was talking about how is it that the soviets spent years trying to come up with secular death rituals and somehow paddington has by accident become the first secular psychopomp and i was like well canonically the first secular psychopomp is actually a psychopomp psychopomp is um uh dci gene hunt and i think a meme where it's like come on charlie fire up the quattro would be a lot better like this is also passing you by
3167.90 3169.20 SPEAKER_04  hi i have a question
3169.20 3240.50 SPEAKER_03  yeah what okay so there were there were um two tv series like a like a main show and then a spin-off that ran in like the mid to late 2000s called life on mars and ashes to ashes where they were both about policemen who were in a coma very and they woke and they were like in the coma they were dreaming that they were in the police but in manchester in the 70s and their boss is this guy dci gene hunt so wait wait wait what the spin-off so it's a show about sorry the first series is a guy a guy gets he has an accident as a police and he gets like hit on the head or something and he goes into a coma and he's like having this like vivid coma dream that he is like in the police in manchester in the 70s but it's like you know it's set in the modern day sure but in the coma it's the 70s yeah and the the lead detective is this guy called dci gene hunt and he's like parody british like plain clothes detective in the 70s like you're fucking nicked sunshine like you know they've all got like little revolvers and like you know it's that and like uh anyway and then they did a second series of it where it was like a woman a woman police officer who gets hit on the head and she has a coma dream where it's the 80s but it's still dci gene hunt but he's just older so he's got an audi quattro
3240.50 3271.12 SPEAKER_04  is is is the is the sort of premise that they're like a fish out of water like a king connecticut yankee and kid arthur's king arthur kid arthur kid arthur yo kid arthur round tables 12 nights yo sipping from my king cup kid arthur and these are the round tables uh so king kennedy yankee and king arthur's court basically yeah but instead it's like someone from now going to a little bit ago yeah and it's doing all of that kind of like what the police used to be like
3271.12 3275.72 SPEAKER_02  when they were real fucking blocks and they didn't have hr you know i could do the paperwork where they
3275.72 3281.50 SPEAKER_00  just arrested with people who were sort of quite grievously racist yeah exactly but anyway the the
3281.50 3299.68 SPEAKER_03  basically the twist at the end so sorry spoilers for a tv show from 15 years ago is that like it's like a kind of purgatory for policemen and gene hunt is like a sort of like ferryman figure and his job is to like usher them to the to the other side so like your your gruff cop boss do you know i didn't know
3299.68 3304.88 SPEAKER_01  that i've watched like a few of them do you know what i mean yeah like i was never i think you only find
3304.88 3330.90 SPEAKER_03  out at the end of the second series which i didn't watch that's amazing i didn't know that um credit to my girlfriend for informing me yeah that's a great show she's a big fan of ashes to ashes which i didn't watch um but yeah so the other the other cops are all also like kind of like soul stranded between this world and the next but dci gene hunt is like a kind of like angelic figure apparently but also who's a racist police man that would be funny if all the angels were racist
3330.90 3341.46 SPEAKER_01  you know yeah yeah i have to i have to go in a sec i think that's probably actually all we have time gene hunt is ushering you to the other side of the podcast gene hunt is calling me from a white light
3341.46 3359.30 SPEAKER_03  at the end of a tunnel he's fired up whatever he would drive now um oh what would he drive now what is the equivalent i mean literally the equivalent of the audi quattro is probably like the audi s3 yeah i was gonna say it's not a million miles away no close enough uh have you got
3359.30 3364.74 SPEAKER_01  anything you'd like to plug um i'm mid tour at the moment i don't know when this is gonna go out
3364.74 3374.24 SPEAKER_04  soon monday no yeah monday next thursday no next thursday yes next thursday one week today well no not next thursday from the point of view of someone listening to this it will be today
3374.24 3395.94 SPEAKER_01  listening to it it's out now obviously in that case when is it coming out yeah in that case i'm on tour in leeds tonight and i've not sold money tickets well as of previous week yes of course and leeds and then edinburgh and then i'm doing one big uh night in london at the end of may on the 29th at moth club with adam flood oh nice and we're filming it please come along it'll be great
3395.94 3402.70 SPEAKER_04  20 quid for two shows a bargain a barg an absolute bargain yeah it's there on the auction house next
3402.70 3408.54 SPEAKER_01  to the erotic yes exactly yeah two shows at moth club and a vibrating dildo walking stick
3408.54 3423.20 SPEAKER_03  vibrating that would be i've added that in that's aftermarket yeah yeah that's yeah that's been souped up we've added some speakers to your walking stick i've had an oscillator put in it's got like a neon light at the bottom okay all right bye everybody bye bye
3423.20 3444.42 SPEAKER_05  bye you you you you
