0.00 19.66 SPEAKER_01  Welcome back to Western Kabuki. My name is Caleb. As always, I am joined by my co-hosts,
2279.58 2315.76 SPEAKER_00  That's pretty brave. I think. Yeah, absolutely. No, it's amazing. So, um, I am, I, I hesitate to say that I'm incredibly proud because it makes me sound patronizing, but I am, I'm always proud of, um, the comrades when they're out there fighting the good fight. So yeah, support your YDSA. Um, and if, if you don't have one, um, YDSA is always, um, always expanding to new campuses. Um, and you know, so if you are a DSA member, you don't have a YDSA at your local campus, um, reach out to your field organizer and they'll help you see if you can put one together. Yeah. No, uh, people in their
2315.76 2327.50 SPEAKER_04  early twenties, very ready to be very radical, um, is what I have gathered. And like, I don't know, I was early twenties. I was, and still am, I would say equally as radical as I was then.
2327.50 2377.92 SPEAKER_04  Um, so there's that just potential. There's such a, like, you know, the Democrats, not to go back to the Democrats, but the democratic party has such an underestimate, underestimation of where young people are. And it always continues. It's going to keep biting them in the ass because they don't understand. They, they bring these like youth organizers into the party. I don't want to name names. I I'm sure anyone listening or any of us here right now can name any of these people. Some of them probably at that Joe Biden, um, Viking funeral party. Uh, so like, so they, they have these people, but they don't actually represent what young people want, you know, or, or the energy that young people have in politics. Uh, it's, it's a shame that it's, they're throwing so much energy to the
2377.92 2417.18 SPEAKER_00  wayside when, when there's so much potential there. Yeah. And I think, um, specifically like, I don't only want to shout out boomers, but Gen X too, like they don't get that these kids are growing up with zero hope, right? These kids who were born after nine 11, the world has never been good. Um, I turned 18, five days before nine 11, 2001. So I had five days of adult life before, before the bad happened. Um, this is like my real origin story. Right. So, but anyway, so, so it's been like my whole adult life. It's been like, Oh, are things ever going to get good again?
2417.34 2473.14 SPEAKER_00  And so now, you know, 20, 20 couple of years down the road, um, my answer is no, right? Like, no, they're not going to get better again. That's not, that's not the case, but these kids have never seen it anywhere near hopeful. It's just been bad. The climate is collapsing the world where it like, we've got a couple of cold wars going on and a couple of hot ones going on and have their entire life. Um, it's the economy. It's like, I don't know. Has the minimum wage been raised in their lifetime? I'm not even sure, but the price of groceries sure has gone up. Um, so I don't, rent is doubled in their lifetime. Yeah. There, but there's like a generation that doesn't get, they're like, why are they so angry? It's because they're, they know their life is never going to be good. That's a pretty good reason to be angry and y'all did it. So yeah. Yeah. No, it's, it's,
2473.22 2495.86 SPEAKER_04  it's, it's a shame. It's a shame. Um, that's why I, I, I do think there needs to be DSA. There needs to be outside organization, some sort of any sort of pressure really, because there, I mean, I don't think they're ever going to change unless they're basically on, on their knees begging for, for this energy to kind of come in and save them. It has to be unbearable for them. I mean,
2495.90 2514.00 SPEAKER_00  it has to be, that's the only way, the only way to do it is to make it so that the people who are the rich and powerful are, their life becomes unbearable. They can't do all the things that are fun and good about being rich and powerful. They, we gotta make them understand what it means.
2514.02 2518.66 SPEAKER_03  To not be able to pay your rent. I'm happy to move toward that goal. That sounds great. I love
2518.66 2535.04 SPEAKER_04  that. Absolutely. And it's like so easy to message. I feel like, like, like, I don't know if you guys saw or even know who Theo Vaughn is. Oh yeah. Yeah. Yeah. Um, he had a show. Yeah. Great, great guy.
2535.04 2553.48 SPEAKER_04  Um, but, uh, see, he had Timothy Chalamet on his show very recently talking about the Bob Dylan movie. What was that? Another friend of the show. Sorry. Yeah, no, he's we're in talks with him right now. Um, but no, not really. I don't, or at least not that I'm aware of. Maybe, maybe we are.
2553.48 2617.82 SPEAKER_04  Yeah. Okay. Perfect. So we'll be in talks with him, but, um, he was on Theo Vaughn, which Theo Vaughn, you know, traditional dumb guy type podcaster, like Joe Rogan's fear, kind of just like perfect, perfect type of show for just like dumb guys. But Timothy Chalamet was on the show talking about like Bernie Sanders and like, like leftist, like topics and things that Pete, like the left cares about and like young people cares about. And Theo Vaughn was like, Oh yeah. Like he was like very open to, uh, what he was saying. And I think he even called Bernie Sanders like a folk hero or something. And it's like, it's so like, I don't know what we have to like, I don't know how much more we can show the democratic party that like these like dumb guys out there, these like people that don't really have specific ideologies just kind of want something new from the left or the democratic party. And you just kind of have to, all it starts with is the very basic having to say the democratic party, like kind of sucks, but you can't do that and be in the democratic party.
2618.48 2632.10 SPEAKER_00  Right. Yeah. And you know, anybody who's done like any amount of canvassing or, um, even phone banking, people have absolutely incoherent, chaotic politics, like 95% of people's politics make no sense at all.
2632.10 2650.62 SPEAKER_00  Anybody who's like ridden in a taxi or a Lyft or an Uber has like, are y'all conversing with your drivers? I can't help it because I have everybody all the time. Um, but like, I was in a cab in Dallas and the guy was like, yeah, you know, it's, it's just so, I'm so upset about Trump winning.
2650.80 2662.02 SPEAKER_00  And I just, you know, he's going to defund the schools and then he's probably going to defund the police. And then I was like, Whoa, hold on. Cause one of those things is cool.
2662.10 2670.00 SPEAKER_00  Um, I mean, but like, that's a normal set of politics. Like that is typical bog standard
2670.00 2695.66 SPEAKER_04  American politics. And, and that's the thing is like these, like the median voter does not know what they're talking about half the time. There'll be in, there'll be in similar polls, people being pulled about like, Oh, Kamala Harris is further left than Bernie Sanders. But like, then they'll say, so they think Kamala Harris is like very far left compared to him, but then they'll be like, Oh, I'm conservative, but they like Bernie Sanders more. And that's like, what are you talking about?
2695.78 2724.98 SPEAKER_04  What do you mean you're moderate? But think Bernie Sanders is more moderate and Kamala Harris, like there is no whenever. So whenever like liberals are like, see, look at this poll, people say they're moderates. And it's like in the same poll, they think Kamala Harris is a communist and Bernie Sanders is a moderate. Like people in this country don't operate in terms of specific set out, well thought out ideologies. People operate in a way where they just, they, they like the sound of something that is genuinely what people operate in. If they like the sound of something, they're like, yeah.
2725.76 2785.24 SPEAKER_00  And I think that people know that stuff's pretty bad and it's not working. And, um, and of course there are like the, these sort of over entrenched, like we have terrible racism in this country that is part of the capitalist system that is just going to always, um, no, it's not always because we're going to fix it. But, but it is a major factor in these decisions people make, but ultimately most people are like, yeah, stuff's really bad. I literally cannot make sense of why, because I don't have a coherent ideology, but somebody should change. And so Donald Trump shows up and he's like, I'm going to change stuff. And they're like, all right, let's give it a shot. Um, and yeah, I mean, I think there probably is a, a subsection of people who are just absolute like fascist bigots who, um, I don't want to say they can't be helped, but they're not, they're not, uh, the target market for getting a majority. Um, but all that mushy middle, those people are all just in need of, uh, you know, socialist Jesus.
2787.74 2788.22 SPEAKER_04  Absolutely.
2790.08 2792.96 SPEAKER_00  Probably not Jesus, but it's a social, you know, social Jesus.
2792.96 2797.46 SPEAKER_03  I knew what you meant. A symbolic Jesus, a symbolic Karl Marx.
2800.50 2800.98 SPEAKER_02  Amazing.
2802.64 2810.78 SPEAKER_02  As we kind of wrap this up, um, do we have any closing thoughts, any words of optimism, wisdom to our, to our listeners, Megan?
2812.26 2845.52 SPEAKER_00  Um, yeah, I mean, it, it feels bad. I get it. I also feel bad. I'm with you. Um, but it also, it has never been more important to get in the fight because now is the time, you know, the fight is easiest when the cracks appear in the, in the foundation and the cracks are there, the contradictions are there and it's our job to get organized and get in there and blast it wide open. Um, so we need you, we need people, we need, we need whatever skills you have.
2845.58 2855.14 SPEAKER_00  We need to whatever background you have, whatever horrifying experiences with capitalism you have, because I bet you would have a bunch. Um, I went to business school. I'm not sure how I can help.
2857.94 2904.62 SPEAKER_00  It is. Sometimes you'll be sitting there with somebody else and you start like listing off your radicalizing events. And all you can think about is like, like, why didn't I radicalize way sooner? Like, why was I not actually born radicalized? Because every single, so many events in my life have been, um, horrifying and somebody else's fault because they wanted to make money and, and we don't have to live like that. So, but we have to collectively act. Um, we're not just going to convince people by having the right ideas and posting them online. I'm sorry. I wish that were the answer. It is not, unfortunately, the answer we have to be in, uh, some sort of formation with each other where we're moving, um, in that direction. So get in it. Um, yeah, we're, we're here for each other.
2904.62 2910.86 SPEAKER_00  That's all we got. Um, we will win. I do believe it. I do too. Despite where we're at right now.
2911.46 2916.76 SPEAKER_04  I am, I'm optimistic to a fault, even when things are very bad. So I, I do agree. I, I think,
2916.76 2931.28 SPEAKER_02  I think eventually goddamn, I think we will win. Yeah. Um, okay. Uh, let's, uh, let's bring this one home. Megan, is there anything you'd like to plug, uh, plug the DSA first and then anything else?
2931.28 2985.78 SPEAKER_00  Yeah. Um, join DSA. If you're not already a member, dsausa.org slash join. Um, it's easy to remember because it's the democratic socialists of America of the United States of America, as my 14 year old likes to point out, dsausa.org. Um, whatever, I guess that was the website that was available back when they built it. So, uh, dsausa.org, um, or find your local DSA chapter and go just check out a meeting, check out a, check out an action, check out a rally. And, uh, yeah, definitely. If you're anywhere near any of these Amazon, um, uh, of these, uh, I'm sorry, the teamster strikes, um, yeah. On the Amazon warehouses or the Starbucks strikes, um, get out there. That's there. I promise those are some fun picket lines right now. I saw, I saw a lot of pictures of them today and they looked like they were having a good time. There's not one near me, but, um, I might have to gas up the minivan and go find one tomorrow. So amazing. All right.
2985.78 2992.84 SPEAKER_02  Thank you so much, Megan. Yeah. Thank you. Thank you for coming on. All right. This was a blast.
2992.84 2997.76 SPEAKER_02  Absolutely. And we'll see you guys, uh, uh, next week. See ya.
