0.00 20.00 None  B8-2-res No, B8-2-res.
1380.00 1393.00 SPEAKER_09  And, uh, because the, a more sane country might've taken the approach that, you know, people who've lived in a country for like 50, 60 years, maybe regardless of what documentation they do or don't have, you can probably grandfather that in.
1393.00 1395.00 SPEAKER_06  The Brits love nothing more than like, Oh, it's terrible.
1395.00 1396.00 SPEAKER_06  I'm terribly sorry.
1396.00 1398.00 SPEAKER_06  I wish there was something that we could do.
1398.00 1400.00 SPEAKER_06  Sadly, uh, the computer says we have to kill you.
1400.00 1401.00 SPEAKER_06  So you're going to die.
1401.00 1405.00 SPEAKER_06  Like they, they just, it was creating this plausible deniability, like, Oh, sorry.
1405.00 1406.00 SPEAKER_06  We just simply don't have it.
1406.00 1419.00 SPEAKER_09  And then of course it turned out that every single one of these people came here legally and, and in, in a lot of cases, people were eventually given their right to stay in the UK, but via a long and traumatic purpose of many people did get deported temporarily.
1419.00 1421.00 SPEAKER_09  Many people had their passports canceled while they were abroad.
1421.00 1426.00 SPEAKER_09  A lot of people died because they were denied access to medical treatment because they were no longer a British citizen.
1426.00 1429.00 SPEAKER_09  So they could no longer have access to the NHS and all this kind of stuff.
1429.00 1437.00 SPEAKER_06  And so basically the one of the, one of the ships that was famous in this era as like a passenger ship, bringing people over from the West Indies was a ship called the Empire Windrush.
1437.00 1447.00 SPEAKER_06  And so people refer to this grouping as like the, the, the Windrush generation, people who were small children during that, like post 1945 immigration wave that happened here, but that were caught up in this.
1447.00 1460.00 SPEAKER_06  And so the whole Windrush scandal, when people talk about it is, is that, uh, these people were often, many of them were deported to like to their deaths in the sense that like they, they were returned to countries they hadn't been to since they were basically toddlers and they couldn't get healthcare.
1460.00 1461.00 SPEAKER_06  They couldn't get housing.
1461.00 1464.00 SPEAKER_06  Some of them were like murdered because they were like robbed all sorts of horrible things.
1464.00 1466.00 SPEAKER_06  And it was all just very, very arbitrary.
1466.00 1470.00 SPEAKER_06  Um, and the government slow rolled doing anything and is also slow rolled compensating them.
1470.00 1471.00 SPEAKER_06  It's, it's really, really bad.
1471.00 1481.00 SPEAKER_06  And it's, it's part of a sort of like, um, I don't know, a general, a kind of anti anti immigrant thing where they, they use a little procedural stuff like this to, to just be as cruel as possible.
1481.00 1483.00 SPEAKER_06  So that's the shortened version of it.
1483.00 1486.00 SPEAKER_06  But, uh, that, that, that's, that's, that's the thing of being referred to.
1486.00 1509.00 SPEAKER_06  And so, yeah, bring it back that like, ah, that to me, I think maybe the, the weird disconnect is that like, I don't know a ton of Jamaicans, but I know enough Jamaicans in real life that seeing this as someone who isn't exposed to what like, you know, the sort of like British equivalent of guy who thinks he's Eminem or Eminem himself in 2001 would be, it just seems a little weird.
1509.00 1512.00 SPEAKER_06  But like, I'm not even, I'm not trying to say that's the universal value judgment.
1512.00 1513.00 SPEAKER_06  Yeah.
1513.00 1515.00 SPEAKER_09  To me, it's a little, but it's, it's very over the top.
1515.00 1517.00 SPEAKER_09  And even at the time it was very over the top.
1517.00 1522.00 SPEAKER_09  And I think, so obviously now I think, you know, when things have moved on, cause also like the type of guy has changed.
1522.00 1539.00 SPEAKER_09  I mean, like you look at like Ali G in the show and he's like, he's really into like jungle music, which at like at the time, it was kind of like, um, and sort of stuff like, uh, like jungle and garage was one of those really interesting things where like it, it was sort of, it, it certainly had an element of it that was like black.
1539.00 1543.00 SPEAKER_09  But it was also like, there were like a lot of like famous, like white producers of it as well.
1543.00 1550.00 SPEAKER_09  And it was sort of more so than, whereas I guess in something like American hip hop at the time, Eminem was much more of an obvious outlier and novelty.
1550.00 1551.00 SPEAKER_09  Yeah, absolutely.
1551.00 1555.00 SPEAKER_09  As like a white guy doing black music, like stuff like garage and jungle and so on was like very mixed.
1555.00 1556.00 SPEAKER_09  Yeah.
1556.00 1564.00 SPEAKER_06  And I think in the UK in general, my impression was that there was more of a kind of like, it's weird.
1564.00 1569.00 SPEAKER_06  I, I know a bit about British music, like popular music from, from let's say the seventies through the two thousands.
1569.00 1591.00 SPEAKER_06  And you, I am taken aback by how much more kind of like, if you look at a band like massive attack, if you look at a band like fucking you be 40, if you look at a band like, um, haircut 100 or Christ level 42, like there just were more, there was black music, white music, people working in bands together.
1591.00 1592.00 SPEAKER_06  It's not that it's better.
1592.00 1597.00 SPEAKER_06  It's just the more like, there's like, like a value judgment saying that like, oh, Britain is emphatically therefore less racist than America or whatever.
1597.00 1599.00 SPEAKER_06  It's just that like, there was more of that.
1599.00 1604.00 SPEAKER_06  Like people forget that MTV basically didn't play black artists until like 1983.
1604.00 1614.00 SPEAKER_06  Like color line stuff was really hard, hard drawn in America, in music, in popular music, in how stuff was marketed in general.
1614.00 1626.00 SPEAKER_06  And so, yeah, it's a, it's a, I guess you can't look at it and say, okay, well, this is, this is trying to be one thing, you know, that we recognize because yeah, it's just, it's representing a thing that's real in Britain.
1626.00 1628.00 SPEAKER_06  But for us, it played out.
1628.00 1630.00 SPEAKER_06  I mean, you guys didn't have disco demolition night.
1630.00 1631.00 SPEAKER_06  You know what I mean?
1631.00 1634.00 SPEAKER_06  You didn't have, uh, what's it called?
1634.00 1647.00 SPEAKER_06  You didn't have, yeah, it was, it was literally, um, I mean, David Bowie like humiliated the, like, not really, but he just, he kind of embarrassed one of the guys from MTV, like in an interview on TV about this, basically the guy being like, well, what's the, you know, teenager in, in, in Minneapolis going to think about these artists.
1647.00 1656.00 SPEAKER_06  And David Bowie's like, well, I imagine that they might be of interest to a black teenager, you know, it's sort of like imply in that guy's kind of like sleight of hand, basically saying like, well, the only, the only, the teenager to me means white kid kind of thing.
1656.00 1659.00 SPEAKER_06  Like that, that was the default in a lot of ways still is in America.
1659.00 1660.00 SPEAKER_06  Hmm.
1660.00 1661.00 SPEAKER_06  Yeah.
1661.00 1663.00 SPEAKER_06  Heaven forbid there's a black teenager in Minneapolis, you know?
1663.00 1664.00 SPEAKER_06  Yeah.
1664.00 1672.00 SPEAKER_06  I was going to say, yeah, maybe his name might be like, I don't know, uh, like some kind of royalty, Rogers Nelson, maybe Prince, you know?
1672.00 1674.00 SPEAKER_06  Do you, do you have like the history of Ali G?
1674.00 1682.00 SPEAKER_06  Cause like, I guess in a way, if I'm not wrong here, like this, it's kind of the thing Sasha Baron Cohen became famous for, like became known for.
1682.00 1683.00 SPEAKER_06  Yeah.
1683.00 1684.00 SPEAKER_09  I would say so.
1684.00 1685.00 SPEAKER_09  Yeah.
1685.00 1688.00 SPEAKER_09  He first appeared as voice of the youth on channel fours, the 11 o'clock show in 1998.
1688.00 1697.00 SPEAKER_09  And then subsequently he had the Ali G show in the early two thousands, which is where you get the, uh, the posh and becks interview from that was actually done for red nose day.
1697.00 1700.00 SPEAKER_09  I believe it was like a comic relief special, but like that was like a common thing.
1700.00 1705.00 SPEAKER_09  We watched another entry where she's Jacob Rees-Mogg, a very like alarmingly young Jacob Rees-Mogg.
1705.00 1707.00 SPEAKER_09  Who just seems very like.
1707.00 1709.00 SPEAKER_09  Alarmingly young and alarmingly old at the same time.
1709.00 1710.00 SPEAKER_06  Yeah.
1710.00 1712.00 SPEAKER_06  Awkward in a way that like, whereas the Tony Ben one.
1712.00 1713.00 SPEAKER_06  Probably younger than I am now.
1713.00 1714.00 SPEAKER_06  Yeah.
1714.00 1715.00 SPEAKER_06  Yeah.
1715.00 1721.00 SPEAKER_06  The Tony Ben one by comparison is very funny because Tony Ben just like kind of challenges him on the dumb shit and like, isn't, he's like not rude at all.
1721.00 1722.00 SPEAKER_06  Yeah.
1722.00 1723.00 SPEAKER_06  But he's not, he's not like just pretending he didn't hear it.
1723.00 1730.00 SPEAKER_09  Well, what's amazing with the Tony Ben one is about halfway through, he realizes that it's a joke and then he starts laughing at first.
1730.00 1732.00 SPEAKER_09  He's like, well, you can't possibly say that.
1732.00 1734.00 SPEAKER_09  It's very, you can't refer to women as bitches.
1734.00 1735.00 SPEAKER_03  It's, it's, it's appropriate.
1735.00 1737.00 SPEAKER_09  What sort of person are you?
1737.00 1740.00 SPEAKER_09  And then like, it suddenly just dawns on him when he like keeps starting up.
1740.00 1743.00 SPEAKER_09  He's like, oh, oh, I see.
1743.00 1746.00 SPEAKER_09  And then like Tony Ben just starts like, I'm like laughing along with it.
1746.00 1751.00 SPEAKER_09  Smoking a pipe the entire time speaking in this accent that just feels like it should
1751.00 1753.00 SPEAKER_06  be preserved under museum. Oh yeah.
1753.00 1754.00 SPEAKER_09  Powerful vibe.
1754.00 1755.00 SPEAKER_09  Powerful vibe.
1755.00 1756.00 SPEAKER_09  Yeah.
1756.00 1757.00 SPEAKER_09  Yeah.
1757.00 1761.00 SPEAKER_09  There's a lot of elements of this, which are just like truly, um, you know, uh, time capsules.
1761.00 1771.00 SPEAKER_06  So if you're not familiar with Tony Ben, British listeners will be, if they listen to our podcast, but Tony Ben was one of the most prominent socialist politicians in Britain.
1771.00 1778.00 SPEAKER_06  Uh, and in many instances, Jeremy Corbyn has reviewed, referred to him as kind of like his political mentor.
1778.00 1781.00 SPEAKER_06  Um, Ben was kind of the bet noir of a lot of like labor, right.
1781.00 1786.00 SPEAKER_06  And the sort of, I don't know, like Tories in general that just see him as this sort of like bumbling idealist.
1786.00 1788.00 SPEAKER_06  But I don't know.
1788.00 1791.00 SPEAKER_06  He, he had pretty, pretty solid principles about stuff.
1791.00 1801.00 SPEAKER_06  And in general, I've, I've never read anything that wasn't by a hack that, uh, made him out to see on seem on balance, like worse, you know, like more bad than good.
1801.00 1805.00 SPEAKER_06  Like, but it's just very interesting to put those two together in the room.
1805.00 1808.00 SPEAKER_06  And like, the fact that he was able to is very funny to me.
1808.00 1809.00 SPEAKER_09  Yeah.
1809.00 1823.00 SPEAKER_09  Well, this is kind of, there was a lot of like really crazy shit on TV in Britain in this period where I think that, um, you know, people would like, if you were a politician, you would get asked on like kind of stupid TV shows, but which were fundamentally not a joke.
1823.00 1824.00 SPEAKER_09  Yeah.
1824.00 1833.00 SPEAKER_09  And so like in a way where I think now it just wouldn't happen or like it wouldn't happen to a politician who wasn't like completely irrelevant, like a real, like, like a lember O pick, you know, type situation.
1833.00 1836.00 SPEAKER_06  But then you think about the, the pedo get an episode that we watched.
1836.00 1840.00 SPEAKER_06  Uh, and it's like that also those people didn't realize they were being pranked.
1840.00 1841.00 SPEAKER_06  Like, yeah, that was wild.
1841.00 1846.00 SPEAKER_09  But I mean that, that also was a much more self-seriously presented show than how you do.
1846.00 1853.00 SPEAKER_09  Like the actual content of it was insane, but it was presented in the tone of like a news night or a, so you can see people falling for it more.
1853.00 1855.00 SPEAKER_09  Whereas I falling for Ali G is like, yeah, come on.
1855.00 1856.00 SPEAKER_09  Like this guy's not real.
1856.00 1857.00 SPEAKER_09  Yeah.
1857.00 1858.00 SPEAKER_09  This, this can't be, this can't be real.
1858.00 1861.00 SPEAKER_09  Um, I've got a list here of people who've been guests on the Ali G show.
1861.00 1862.00 SPEAKER_09  All right.
1862.00 1863.00 SPEAKER_09  Buzz Aldrin.
1863.00 1864.00 SPEAKER_09  Right.
1864.00 1870.00 SPEAKER_09  Um, whom Ali G addresses as Buzz Lightyear and asked him if he was ever jealous of Louis Armstrong.
1870.00 1874.00 SPEAKER_09  Some of this is good.
1874.00 1875.00 SPEAKER_09  Yeah.
1875.00 1876.00 SPEAKER_09  Tony Ben, David Beckham.
1876.00 1879.00 SPEAKER_09  Have we got anyone else in here worth having?
1879.00 1880.00 SPEAKER_09  Noam Chomsky.
1880.00 1886.00 SPEAKER_09  I, during this interview, Ali G is perplexed about the difference between the terms bilingual and bisexual.
1886.00 1893.00 SPEAKER_09  After asking if his four year old part Bangladeshi and part English cousin will grow up to speak both languages.
1893.00 1900.00 SPEAKER_09  Um, Jarvis Cocker, Paul Daniels, the magician, Muhammad El Fire, Jesus.
1900.00 1904.00 SPEAKER_09  Um, Daryl, uh, Newt Gingrich.
1904.00 1914.00 SPEAKER_06  I mean, Sasha Baron Cohen has this knack for getting very politically connected people on camera.
1914.00 1935.00 SPEAKER_06  His thing with, uh, where he managed to get the footage of Rudy Giuliani thinking that he was gonna, uh, sleep with, I believe if I remember correctly, a, basically it was implied that, that he was going to have a chance to sleep with an underage sex worker and, you know, but exploited child.
1935.00 1938.00 SPEAKER_06  And he started like unzipping his fly, not realizing it was fake.
1938.00 1940.00 SPEAKER_06  And they like burst into sort of stop it in the filming.
1940.00 1942.00 SPEAKER_06  But like, it's pretty, pretty damning.
1942.00 1951.00 SPEAKER_06  Like Rudy Giuliani, famously, not a very smart guy, but he, after all those years in the public eye managed to be fooled by Sasha Baron Cohen.
1951.00 1956.00 SPEAKER_06  So like the man's just, just, he's just, he's wily back to back in the list.
1956.00 1960.00 SPEAKER_09  Donald Trump and Gore Vidal author and essayist who Mally G.
1960.00 1962.00 SPEAKER_09  Mistook for Vidal Sassoon.
1962.00 1963.00 SPEAKER_06  Um, no Gore Vidal.
1963.00 1964.00 SPEAKER_06  Yeah.
1964.00 1970.00 SPEAKER_06  He's like really famous, uh, American author of 20th century author, but like, he's also sort of like a talk show circuit guy.
1970.00 1971.00 SPEAKER_06  Famously.
1971.00 1975.00 SPEAKER_06  He, he called, uh, um, William F Buckley, a crypto Nazi.
1975.00 1978.00 SPEAKER_06  And, uh, and Buckley said, stop calling me a Nazi.
1978.00 1979.00 SPEAKER_06  You queer.
1979.00 1981.00 SPEAKER_06  It's a, it's a, yeah.
1981.00 1990.00 SPEAKER_09  The, the Trump one in the interview lasting under two minutes, Ali G proposes a business idea to Trump consisting of creating ice cream gloves to which Trump replies, well, it sounds like a good idea.
1990.00 1992.00 SPEAKER_09  And I hope you make a lot of money before walking off the set.
1992.00 1994.00 SPEAKER_09  They should get Trump and Ali G together.
1994.00 1996.00 SPEAKER_09  Now that's something that I want to see.
1996.00 1997.00 SPEAKER_06  Yeah.
1997.00 1999.00 SPEAKER_06  Degree of incoherence, but I don't know.
1999.00 2007.00 SPEAKER_06  I feel like, um, when you look back on this stuff, like, do you feel as though this is when you talk, you talk about being like of its time.
2007.00 2012.00 SPEAKER_06  I'm interested in like what specific things to you jump out.
2012.00 2016.00 SPEAKER_06  I mean, I certainly think that like the calling women bitches thing is kind of a gag.
2016.00 2022.00 SPEAKER_06  It's just one of those things where like, even if you're trying to emulate, you're trying to like mimic a kind of behavior that is real.
2022.00 2032.00 SPEAKER_06  It's kind of like juice isn't worth the squeeze at this point because if you tried that like more people, like just generally if people are going to rightfully respond in a negative way to it.
2032.00 2033.00 SPEAKER_06  Yeah.
2033.00 2035.00 SPEAKER_06  Because you're, you are British, you grew up here.
2035.00 2036.00 SPEAKER_06  Like, I don't know.
2036.00 2037.00 SPEAKER_06  What do you, what do you think?
2037.00 2049.00 SPEAKER_09  I think it's, well, I guess, I guess the charitable reads of Ali G is kind of that it is like, it is sort of like universal comic trope of like, it's very funny when someone's like trying to be something that they're not.
2049.00 2050.00 SPEAKER_09  Um, sure.
2050.00 2059.00 SPEAKER_09  And the, yeah, the, the bitches thing is like this kind of, I mean, when you see these things, they've not, they've not aged that well, but on the other hand, it is supposed to be satire.
2059.00 2065.00 SPEAKER_09  So you kind of like, I mean, like there's a bit where he uses like a racial slur, like very much to get a rise out of people.
2065.00 2069.00 SPEAKER_09  And as a, but I still think where you're like, well, they wouldn't do that on television now.
2069.00 2070.00 SPEAKER_09  Like you wouldn't like, it's kind of, or you'd hope at least.
2070.00 2071.00 SPEAKER_09  Yeah.
2071.00 2073.00 SPEAKER_09  That would very much be considered a juice, not worth the squeeze.
2073.00 2078.00 SPEAKER_09  Even if it is like, I'm, I am mocking this character for using a racial slur.
2078.00 2080.00 SPEAKER_09  It would still be like, you know, you wouldn't do it.
2080.00 2093.00 SPEAKER_09  Um, and, uh, I mean like this, but then there's other things in it where it's just like, it's very funny to just, and I think this was also what was great about Borat is just like getting people to react to this character.
2093.00 2100.00 SPEAKER_09  Like the bit in the Jacob Reese mog one where he's like, so if you, if you fuck my sister, like what class would the kid be?
2100.00 2102.00 SPEAKER_09  And he's like, well, I don't know anything about this young lady.
2102.00 2106.00 SPEAKER_09  And he's like, and he's like, yeah, you're, you're, you're too good for her.
2106.00 2107.00 SPEAKER_09  And he's like, no, I don't know.
2107.00 2108.00 SPEAKER_09  He's like, nah, nah, it's true, man.
2108.00 2110.00 SPEAKER_09  Like even my mom says she is rank.
2110.00 2111.00 SPEAKER_09  Like this.
2111.00 2116.00 SPEAKER_02  So what if I knocked the door of a Lord?
2116.00 2118.00 SPEAKER_02  Um, yes.
2118.00 2119.00 SPEAKER_02  What if you did?
2119.00 2124.00 SPEAKER_02  If she got a bun in the oven, what class would the little nipper be?
2124.00 2131.00 SPEAKER_01  Um, it's so much to pat on the circumstances depend on the garden question and so on and so forth.
2131.00 2134.00 SPEAKER_02  So what if you got busy with my sister?
2134.00 2137.00 SPEAKER_02  I would advise you because she ain't the cleanest girl out there.
2137.00 2139.00 SPEAKER_02  I haven't had the person arranged myself.
2139.00 2141.00 SPEAKER_02  Well, it can't be arranged.
2141.00 2142.00 SPEAKER_02  She'll be keen.
2142.00 2147.00 SPEAKER_01  I, I, I, I, I, I, I, I, I'm speculating on, on, on my, having a relationship with somebody I've never met.
2147.00 2156.00 SPEAKER_01  And that leading for child being born and then as to what class it might be is so, uh, far fetched, um, as, as to be ridiculous.
2156.00 2157.00 SPEAKER_01  I have no idea.
2157.00 2159.00 SPEAKER_01  What you think is too good for my sister?
2159.00 2160.00 SPEAKER_01  I certainly know.
2160.00 2162.00 SPEAKER_02  I was like, you is.
2162.00 2163.00 SPEAKER_01  No, no, no.
2163.00 2164.00 SPEAKER_01  No, it is though.
2164.00 2165.00 SPEAKER_01  She's rank.
2165.00 2166.00 SPEAKER_02  She's nothing.
2166.00 2167.00 SPEAKER_02  No, no, no.
2167.00 2168.00 SPEAKER_02  Believe me.
2168.00 2169.00 SPEAKER_02  Um, even my mom cussed her.
2169.00 2170.00 SPEAKER_02  Tell her she's a sister.
2170.00 2176.00 SPEAKER_06  Or the thing where he's talking about like, would you be, would you be upper class if you were like rich and owned a huge pool or something like that?
2176.00 2183.00 SPEAKER_06  And you can see Jacob Rees-Mogg is just very like dis discomfort is the overriding sensation that I see throughout it.
2183.00 2184.00 SPEAKER_06  Yeah.
2184.00 2186.00 SPEAKER_06  More so than his normal level of ambient discomfort.
2186.00 2187.00 SPEAKER_06  Yeah.
2187.00 2201.00 SPEAKER_09  And then, and that kind of, I, yeah, I think like, yeah, there's a being, being from Essex, there's definitely like an allergy type that still exists because I mean, Essex is a bit less white than it used to be, but I mean, it's still, it's still pretty white.
2201.00 2211.00 SPEAKER_09  And you do, I sometimes like, you know, I'm, when I'm in Harlow, you just see like the fucking, you know, the 20, 20 year old white guys walking around in 30 degree heat in the full track suit with the hood up.
2211.00 2212.00 SPEAKER_09  And it's like, who are you kidding brother?
2212.00 2215.00 SPEAKER_09  Like, come on, like you're from here.
2215.00 2218.00 SPEAKER_09  Um, in a sort of, uh, yeah, I don't know.
2218.00 2225.00 SPEAKER_09  So there's, it is sort of satirizing something in, in British culture, but like, yeah, I don't know.
2225.00 2226.00 SPEAKER_09  It definitely like it's aged.
2226.00 2227.00 SPEAKER_09  It's really aged.
2227.00 2228.00 SPEAKER_06  Yeah.
2228.00 2243.00 SPEAKER_06  I, I, I think one thing that I find interesting about looking at it now is that maybe on the aging topic, I don't want to acknowledge how long ago it was because I'm like, ah, I don't feel like, you know, that old, but then you realize like, no, this is more than 20 years ago.
2243.00 2247.00 SPEAKER_06  And like the footage kind of reveals that when you see how young David Beckham looks.
2247.00 2248.00 SPEAKER_06  Yes.
2248.00 2249.00 SPEAKER_06  Yes.
2249.00 2250.00 SPEAKER_06  Yes.
2250.00 2251.00 SPEAKER_06  And that's later on allergy too.
2251.00 2252.00 SPEAKER_06  Yeah.
2252.00 2254.00 SPEAKER_06  And certainly Jacob Rees-Mogg is a good example of it.
2254.00 2256.00 SPEAKER_06  Like the settings and such, you just, you can tell.
2256.00 2267.00 SPEAKER_06  But I mean, I guess looking at this stuff, I'm trying to think if we have an equivalent and I bet you, I'm just going to miss a very obvious one because like, I haven't been America brained in so long that I can't remember.
2267.00 2271.00 SPEAKER_06  Like I do think that, yeah, the person pretending to be someone they're not.
2271.00 2286.00 SPEAKER_06  Um, the only thing that comes immediately to mind is like American Ali G is like the, the annoying white, white kid who's pretending to be really hood when, uh, in the movie can't hardly wait, which is like a graduating from high school teen coming of age movie.
2286.00 2290.00 SPEAKER_06  It's actually a pretty good movie, but, uh, from like 98, I think.
2290.00 2291.00 SPEAKER_06  Okay.
2291.00 2292.00 SPEAKER_06  Uh, yeah.
2292.00 2301.00 SPEAKER_06  But like that guy exists, but the idea that that annoying guy gets his own TV to go interview famous people, like different vibe entirely.
2301.00 2302.00 SPEAKER_06  But you know what I mean?
2302.00 2306.00 SPEAKER_09  Like, yeah, it's almost allergy in reverse, but the wines brothers movie white chicks.
2306.00 2307.00 SPEAKER_09  Yeah.
2307.00 2308.00 SPEAKER_09  Yeah.
2308.00 2309.00 SPEAKER_09  Reminiscent of, of allergy in a way.
2309.00 2310.00 SPEAKER_06  Yeah.
2310.00 2314.00 SPEAKER_09  I mean, it's also funny when you think about completely the opposite bit, but yeah.
2314.00 2315.00 SPEAKER_06  Yeah.
2315.00 2323.00 SPEAKER_06  Like, man, I, I, it's not a Wayne's brothers movie, but there was a, um, it's weird because like you talk about Bruno and just sort of like the whole, the whole thing.
2323.00 2324.00 SPEAKER_06  Like what if a guy was gay?
2324.00 2325.00 SPEAKER_06  Where is that?
2325.00 2333.00 SPEAKER_06  Like there was a, there was a, there were movies, most, most stuff that made jokes about gay, queer, trans people in America.
2333.00 2335.00 SPEAKER_06  I mean, they're still bad, but they were really bad back then.
2335.00 2337.00 SPEAKER_06  But then every now and then over here too.
2337.00 2338.00 SPEAKER_06  Oh yeah.
2338.00 2339.00 SPEAKER_06  Yeah.
2339.00 2340.00 SPEAKER_06  Yeah.
2340.00 2341.00 SPEAKER_06  Yeah.
2341.00 2342.00 SPEAKER_06  Yeah.
2342.00 2346.00 SPEAKER_06  I mean, I think it's a good highlight in a negative sense reels of some of the shit Jon Stewart said on the daily show.
2346.00 2347.00 SPEAKER_06  Like it's just, it's bad.
2347.00 2353.00 SPEAKER_06  It's not that long ago, but I was thinking about this recently because of the, um, we,
2353.00 2366.00 SPEAKER_09  we were reminded of the little Britain only gay in the village sketch. Um, because someone described an outfit someone was wearing as a bit, a bit little Britain and clearly referenced that sketch.
2366.00 2367.00 SPEAKER_09  And I was like, fuck.
2367.00 2368.00 SPEAKER_09  Yeah.
2368.00 2377.00 SPEAKER_09  That was a, that was a, you know, when someone really like nails, what something looks like in a kind of, but in a, with a, with a take that takes you so far into your life, wow, how did you even think of that?
2377.00 2388.00 SPEAKER_06  But yes, it was interesting to me because I was thinking about like racking my brain, having grown up in mostly in Carmel, Indiana, um, for what would be like an American equivalent.
2388.00 2400.00 SPEAKER_06  And I definitely knew guys who were sort of cosplaying as being, I guess like gangster is the right way to describe it, but sort of emulating what you would describe as like kind of rapper aesthetics.
2400.00 2410.00 SPEAKER_06  I mean like for better or worse, you know, kids I knew at school who were, you know, would, would drive, uh, cars with like huge rims, you know, and this is all really expensive.
2410.00 2412.00 SPEAKER_06  And these kids came from families with money.
2412.00 2413.00 SPEAKER_06  Like they weren't, they weren't family.
2413.00 2415.00 SPEAKER_06  They weren't like highly functional families.
2415.00 2420.00 SPEAKER_06  It's like, like oftentimes like shit was fucking bad at home, but their parents, you know, had money and stuff.
2420.00 2422.00 SPEAKER_06  And like, I don't know, I don't want to like pathologize all of it.
2422.00 2424.00 SPEAKER_06  This is quite an Essex vibe actually.
2424.00 2425.00 SPEAKER_06  Yeah.
2425.00 2435.00 SPEAKER_06  Like I remember kids with like the, the stupid, the stupid chains and you know, rims on their cars and huge, the huge sound system is a really big thing for like in America in general.
2435.00 2460.00 SPEAKER_06  Cause obviously having a car is so important, but like, you know, the, the, the massive subwoofers in the back of the car that like rattled the speakers and stuff like that's, that's very much like, not just considered like a, like a, like a, like let's be honest, like a black thing or like a rap hip hop and, and like black culture thing, but also like a Southern thing specifically, like, like when I think about music references to like, you know, knocking pictures off the wall and shit like that, like the subs being this loud in your car, it's very much like a Southern thing.
2460.00 2464.00 SPEAKER_06  So here we are emphatically not the South in an incredibly white area.
2464.00 2477.00 SPEAKER_06  And we're having pictures knocked off the wall by these kids because the fucking, the sound systems are so loud playing like, you know, masterpiece ghetto D or like, you know, the second Wu-Tang album or, you know, biggies, what is it?
2477.00 2479.00 SPEAKER_06  Life after death, stuff like that.
2479.00 2481.00 SPEAKER_06  Extremely like late nineties vibes.
2481.00 2482.00 SPEAKER_06  And it was funny.
2482.00 2485.00 SPEAKER_06  I was thinking about it like, and then I realized I did have a funny example.
2485.00 2504.00 SPEAKER_06  Now it's very, it's high school, but it's funny, which is that we had a kind of program in my high school that was like a, like a business, like teaching business development stuff at a very like basic level, but it was part of some kind of state convention thing where like you would do a business development thing, come up with an idea and like present your idea and stuff.
2504.00 2509.00 SPEAKER_06  And some kids who my best guess is that like they took that course.
2509.00 2514.00 SPEAKER_06  It's just like, cause it was, it sounded easy, decided they were going to create a rap label called tight.
2514.00 2515.00 SPEAKER_06  Yo records.
2515.00 2519.00 SPEAKER_06  Um, and they, I know records.
2519.00 2520.00 SPEAKER_06  It's very good.
2520.00 2524.00 SPEAKER_06  And now to my knowledge, they didn't sign any artists or produce any music.
2524.00 2527.00 SPEAKER_06  They did make some merch that they sold as part of their business thing.
2527.00 2530.00 SPEAKER_06  And you could buy a tight, you know, records, uh, sweatshirt.
2530.00 2532.00 SPEAKER_09  I imagine if you still had one of those.
2532.00 2540.00 SPEAKER_06  I know it would be amazing, but this is the thing that's really funny was they did some, because we used to do announcements at over like the school PA system every morning.
2540.00 2542.00 SPEAKER_06  And, uh, you could like that.
2542.00 2546.00 SPEAKER_06  You could make announcements and they would, they would like, you know, if they approved them, you could put them on.
2546.00 2550.00 SPEAKER_00  And these, these, these kids, Hey, it's me, the big dog.
2550.00 2551.00 SPEAKER_00  Dog.
2551.00 2553.00 SPEAKER_00  That road looks like shit.
2553.00 2554.00 SPEAKER_00  Dog.
2554.00 2557.00 SPEAKER_00  We got to sort out your ride, bro.
2557.00 2558.00 SPEAKER_06  Yeah.
2558.00 2564.00 SPEAKER_06  So, um, they did one where they were doing like a, like a holiday store and they were selling tight.
2564.00 2565.00 SPEAKER_06  Yo records merchant.
2565.00 2566.00 SPEAKER_06  They made an announcement.
2566.00 2568.00 SPEAKER_06  And I remember cause I would've been a freshman cause these kids were all my brother's age.
2568.00 2570.00 SPEAKER_06  They were all like graduating in the class of 2000.
2570.00 2571.00 SPEAKER_06  Okay.
2571.00 2572.00 SPEAKER_06  Yeah.
2572.00 2576.00 SPEAKER_06  Like I said, extremely like all the time they were in high school until the very end was the nineties.
2576.00 2586.00 SPEAKER_06  Um, and they were like, they basically did like a parody version of, uh, of a skit from a master P record, which I don't, you, this probably is not in your wheelhouse.
2586.00 2587.00 SPEAKER_06  Yeah.
2587.00 2589.00 SPEAKER_06  I'm not very familiar with the over of master P.
2589.00 2597.00 SPEAKER_06  Master P was a, like a kind of like the, the, the, the, the sort of impresario and he was rapper, successful rapper, but he also ran a label called no limit records.
2597.00 2599.00 SPEAKER_06  And there's a skit on one of his albums.
2599.00 2607.00 SPEAKER_06  It might've been a ghetto D, but basically where someone calls the ideas that someone from the label is answering the phone and the guy's like, you know, no limit studios.
2607.00 2611.00 SPEAKER_06  And so the guy on the phone was like, who dis is like, what's his rapper's forte?
2611.00 2612.00 SPEAKER_06  Who's this?
2612.00 2613.00 SPEAKER_06  And he's like, Oh, that's P.
2613.00 2615.00 SPEAKER_06  He's like, like it's masterpiece.
2615.00 2617.00 SPEAKER_06  Like P he's like, yeah, it is P.
