0.00 29.58 SPEAKER_05  Hello and welcome to Punta Vista
1885.12 1893.18 SPEAKER_03  Less 12 fluid ounces Yeah Oh Exactly Right Yeah Okay It doesn't equal 375 mils though
1893.18 1911.60 SPEAKER_02  Ah right Okay Freaks You guys might have actually seen Some footage of this thing That I'm about to describe to you But I thought Hearing it from the horse's mouth So to speak Is a uniquely American experience This is a press release From Duke's Mayonnaise
1911.60 1916.34 SPEAKER_03  Finally Finally Their silence has been deafening
1916.34 1925.04 SPEAKER_02  It's time someone came from a platform Duke's Mayo surprises fans With celebrity mascot reveal At 2025 Duke's Mayo Bowl
1925.04 1925.90 SPEAKER_06  Ooh
1925.90 1934.22 SPEAKER_03  What a wonderful image That conjures Yeah Only in America Duke's Mayo Bowl
1934.22 1937.58 SPEAKER_09  Drink deeply from Duke's Mayo Bowl
1937.58 1960.18 SPEAKER_03  Yeah Especially Especially if you're not Like an American sports fan And you have no concept Of like The college bowl Of what a Mayo Bowl is Yeah The rose bowl Or any of these things And instead I'm just picturing A heaping bowl of mayonnaise Delicious Yeah Creamy Full egg mayonnaise Yes I'm rubbing my tummy And I'm licking my lips Duke's is pretty Pretty vinegary though
1960.18 1963.46 SPEAKER_06  Is it? Yeah I'm just saying Get in the Duke's review
1963.46 2006.06 SPEAKER_03  Yeah I bought some a little while ago Because I was like In the deli That I get Maybe my cheeses And such from It's where I get my My sauerkraut My roasted peppers My dark fat Things of that nature And I needed Mayo For something I was making And I was like Oh They got Duke's I've heard that shit's good And I picked it up And I was like You know what I'm making like A really big thing Of whatever the fuck it was Hawaiian macaroni salad I was like I'll get two of them And I got two of these things Put them through the register Along with everything else And looked at the screen At some point And realised that they were $25 each That's fucked up And I went But it was like Too late It was too late I couldn't be like I'm sorry
2006.06 2010.64 SPEAKER_06  Can't be like No I don't want to pay $25 for Mayo Actually That's a psycho thing to do
2010.64 2012.56 SPEAKER_03  Yeah I'm sorry This is cheap to me
2012.56 2013.60 SPEAKER_06  I'm not fucking buying them
2013.60 2022.38 SPEAKER_03  Your imported Mayo prices Are fucking insane Instead I had to play it off Like it was normal For me to spend $50 on mayonnaise In a single transaction
2022.38 2027.54 SPEAKER_09  Like looking around Like Oh Geez I got the $25 mayonnaise Guess that's just how I roll
2027.54 2030.94 SPEAKER_06  I didn't even look at the price It doesn't bother me
2030.94 2053.90 SPEAKER_02  That's how much I value This beautiful vinegary mayonnaise So yeah It's got a little more A little more tart Than your regular Your regular Mayo Duke's mayonnaise Turned up the flavor At the 2025 Duke's Mayo Bowl With an epic post-game surprise Duke's beloved mascot Tubby Unmasked to reveal None other than Hip-hop legend Flavor Flav
2053.90 2055.52 SPEAKER_06  Wow
2055.52 2062.14 SPEAKER_02  Holy shit it's Tubby Tubby's taking off his mask Holy shit it's Flavor Flav
2062.14 2066.10 SPEAKER_03  I Have you guys seen What Tubby looks like?
2066.22 2067.14 SPEAKER_06  Nah let's get him up
2067.14 2073.62 SPEAKER_03  He's a tub of mayonnaise I like looking at Tubby I gotta say I'm pretty into Tubby Now Tubby
2073.62 2074.22 SPEAKER_02  I can get
2074.22 2076.78 SPEAKER_06  Oh Oh Alright
2076.78 2077.32 SPEAKER_05  Okay
2077.32 2080.04 SPEAKER_02  Yeah Tubby got eyebrows
2080.04 2095.70 SPEAKER_03  I like this guy Yeah For anyone Tubby's not looking at him He's got like incredibly Greek eyebrows Yeah He looks like a Greek cigarette Yeah And his googly eyes are pointing off in different directions
2095.70 2112.94 SPEAKER_02  Look This is His eyes are drawn Rick and Morty style Like where the pupil is just a scribbled thing And this is a They're doing this on purpose Alright Tubby was unveiled like two or three years ago And they're being wacky on purpose They're trying to get in on that sort of gritty
2112.94 2113.94 SPEAKER_03  Yeah Yeah
2113.94 2115.58 SPEAKER_02  Vibe of having you know
2115.58 2143.68 SPEAKER_03  Or when they were doing Remember when When planters were doing like the Mr. Peanut thing Where they're like We're killing Mr. Peanut Now there's a baby Mr. Peanut Yeah And like we Well yeah We've done that whole thing Remember Baby Nut We went from like Normal advertising To self-aware advertising To like Everybody just being like We know advertising is Fucking stupid Yeah To We're deliberately Making Abrasive and unsettling things I guess it's like
2143.68 2146.98 SPEAKER_02  We'll debase ourselves If it'll make you clap We'll do it
2146.98 2157.14 SPEAKER_03  It's got to be like An attention economy thing right Where it's just like At this point We're just trying to do something Weird enough to get people To look for a few minutes Yeah like the
2157.14 2162.20 SPEAKER_06  Pakistan airline That did the graphic Of the plane hitting the Eiffel Tower Right
2162.20 2167.06 SPEAKER_02  Yes You gonna see that That's deliberate right Almost hitting About to hit it Yeah On the precipice of hitting it
2167.06 2170.78 SPEAKER_06  Now I know they've got direct flights Between Islamabad and Paris So It's good to know
2170.78 2170.88 SPEAKER_04  You know
2170.88 2172.64 SPEAKER_06  It's good advertising
2172.64 2177.30 SPEAKER_04  I I just Like
2177.30 2187.30 SPEAKER_03  Am I way off base I don't know Why anybody wants to See Flavor Flav Hanging out at places Anymore I don't know if they do
2187.30 2190.06 SPEAKER_06  He must just be like cheap Like that's a bargain Yeah you gotta book someone
2190.06 2204.80 SPEAKER_09  Yeah You gotta book someone You turn up at the Duke's Flavor Bowl Or whatever And And they don't have Like A hip hop artist That you go Oh I haven't thought about him In a hot minute You walk away disappointed More of a hype man
2204.80 2207.16 SPEAKER_06  Than an artist We play that That big Flavor Flav song
2207.16 2209.22 SPEAKER_09  Yeah You go to the Duke's Bowl
2209.22 2217.36 SPEAKER_02  And they don't bring the flavor I don't know if I've said this On the pod before But we ever talked about When a friend of the show And previous guest J.R.
2217.42 2222.02 SPEAKER_02  Hennessy Got a call out of the blue From Flavor Flav No
2222.02 2225.00 SPEAKER_03  It doesn't ring a bell And I feel like it should
2225.00 2263.62 SPEAKER_02  So Someone Some Probably Australian Extremely online Person Used cameo To get Flavor Flav To give a shout out To Cardinal George Pell It And then Henno Yeah it's all Going back to me now Yeah Henno wrote An article about it And was like Hey Flavor Flav Just shouted out Cardinal George Pell And then like A couple of hours later A phone gets forwarded To his A call gets forwarded To his desk phone It's like hey What's up It's Flavor Flav Didn't know all the stuff About that guy Was unaware My bad Yeah
2263.62 2273.10 SPEAKER_03  Again Seems Seems loosely related To the concept of Taking any amount of money That is being made available To you for speak On behalf of something Yeah Maybe just Google
2273.10 2276.08 SPEAKER_06  Who you're giving a shout out And the word like Pedo And just see if anything
2276.08 2281.04 SPEAKER_03  Pops up Yeah Yeah It only takes Two minutes to Google
2281.04 2282.96 SPEAKER_09  That person and pedo
2282.96 2296.08 SPEAKER_03  Just feel like Flavor Flav Was like Culturally relevant In what The 80s The late 80s The sort of Public enemy era And then there was like The resurgence of him In Flavor
2296.08 2297.04 SPEAKER_06  The reality show right
2297.04 2306.08 SPEAKER_03  Flavor of Love The reality TV dating show In which a bevy Of women competed For the sexual attentions Of one Flavor Flav Not as good as
2306.08 2307.34 SPEAKER_06  Rock of Love With Bret Michaels
2307.34 2310.86 SPEAKER_03  No And it was also like 20 years ago Right
2310.86 2312.82 SPEAKER_06  Yeah that was also 20 years ago
2312.82 2315.00 SPEAKER_03  Yeah Is he immortal
2315.00 2316.90 SPEAKER_06  Is that why we're clapping Yes
2316.90 2319.56 SPEAKER_03  That's what the clock Symbolizes That's what the clock That's how much
2319.56 2323.96 SPEAKER_06  Time is frozen If he takes it
2323.96 2338.56 SPEAKER_03  Or he dies I've got a video here Of the moment That he is unveiled And it also has The moment that they Dump a big tub Of mayonnaise Over like One of the coaches Yeah That was coming up In the story Sorry man
2338.56 2353.00 SPEAKER_02  Spectators went wild As the rap icon Bought his unmatched energy And signature clock necklace Rocking Bank of America Stadium And proving that Dukes knows how to Keep it flavorful On and off the field Sucks I know it's like so
2353.00 2364.30 SPEAKER_03  I know it's been happening For so many years But it's still Like It's still just A special kind of Depressing to hear Bank of America Stadium Yeah I don't like that I don't like that
2364.30 2366.80 SPEAKER_09  And What was the other thing You said Ben?
2368.20 2369.84 SPEAKER_03  Crypto.com arena You know
2369.84 2372.46 SPEAKER_09  No right at the end there Keep it flavorful?
2372.98 2373.32 SPEAKER_05  Yeah
2373.32 2378.68 SPEAKER_09  Like you've just got to Keep writing this press shit Until we all Until someone kills you Burn to death on this earth Right?
2378.80 2390.68 SPEAKER_09  Like Yeah Apparently this is just Culture now I'm going to grind this out Squeeze our little Culture tubes And Less and less of this Horrible paste Will come out each time
2390.68 2394.48 SPEAKER_02  It's just a little Little powder Slightly moist powder
2394.48 2395.30 SPEAKER_03  Dust
2395.30 2400.88 SPEAKER_02  Quote When we started thinking About how to bring this to life Flavor Flav just felt right Did he?
2400.88 2409.52 SPEAKER_02  Said Rebecca Lupesco Yeah He answered our call Yeah He picked up Almost instantly It's like half a ring What do you want me to do?
2409.64 2411.18 SPEAKER_02  I'll do it How much?
2411.28 2412.34 SPEAKER_02  Doesn't matter He's been calling us
2412.34 2412.98 SPEAKER_03  For months
2412.98 2423.48 SPEAKER_02  Quote His energy is unmatched And when he said He has an unhealthy love of mayo That was icing on the cake Okay There was mayo on the sandwich
2423.48 2425.24 SPEAKER_06  Yeah Come on now
2425.24 2429.74 SPEAKER_02  Yeah Flavor Flav and Dukes together Doesn't get better than that
2429.74 2431.16 SPEAKER_03  Agree to disagree
2431.16 2434.96 SPEAKER_02  I can think of Lots of things Going for a walk On a nice afternoon
2434.96 2436.50 SPEAKER_09  Getting sucked off On a jet ski
2436.50 2436.94 SPEAKER_10  Yes
2436.94 2445.88 SPEAKER_03  Looking into my Beautiful children's eyes Or Thinking about The brand synergy Between Flavor Flav And Dukes mayonnaise
2445.88 2467.38 SPEAKER_02  Flavor Flav's debut As Dukes celebrity mascot Was revealed After the Minnesota Golden Gophers Won the 24-10 Won the game 24-10 Against Virginia Tech The excitement continued When Flavor Flav Was given the reins To perform The highly anticipated Mayo dump Pouring nearly five gallons Of Dukes mayonnaise On coach PJ Fleck To celebrate his team's victory
2467.38 2470.40 SPEAKER_06  What a vile waste Of mayonnaise Honestly
2470.40 2476.86 SPEAKER_03  Can I say though I don't think it's I don't think it's Uncut mayo I think they've Watered it down a little No I think it's mayo
2476.86 2478.04 SPEAKER_06  It's not five gallons I don't think it's
2478.04 2487.60 SPEAKER_03  Their premium stuff For sure No no I think if you were Really dumping out Five gallons Of Dukes It'd come out Like Like blobby It's thick right You know
2487.60 2491.54 SPEAKER_09  Yeah They've got to have Like a comically large Spoon to scoop it out
2491.54 2494.18 SPEAKER_06  That's funny No no no That's funny That's good
2494.18 2504.06 SPEAKER_03  That's a good twist On a classic formula That's a good game Yeah him sitting underneath While someone with a big spatula Like slapping the top of it Trying to get it out Almost there Almost there Alright Now we're talking
2504.06 2512.68 SPEAKER_02  Yeah Put in some hot water While it might seem like A questionable match There are lots of synergies Between Dukes and Flavor Flav Fuck
2512.68 2514.56 SPEAKER_04  Don't say that
2514.56 2516.92 SPEAKER_02  In your press release I hate
2516.92 2523.08 SPEAKER_03  These Yeah Don't say in the press release We know it's pretty iffy
2523.08 2532.88 SPEAKER_09  No they're leaning into it too hard I know that there was A punchline About spider pussy And stuff in the end there But I genuinely do think This world is sick Yeah But we're fine
2532.88 2536.04 SPEAKER_07  It's diseased We all agree on that Brands
2536.04 2536.44 SPEAKER_02  That's right
2536.44 2542.50 SPEAKER_07  Between Duke Mayonnaise And Flavor Flav I don't need to think that Nobody needs to think that Well that's okay I can see that
2542.50 2542.76 SPEAKER_02  Let's hear him out
2542.76 2543.38 SPEAKER_07  Let's hear him out
2543.38 2550.48 SPEAKER_02  Yeah they have some reasoning here He's an icon Whose name just happens To be Flavor Flav What do you mean just happens
2550.48 2552.90 SPEAKER_06  I think he chose it I don't think it is his birth name
2552.90 2560.32 SPEAKER_09  What they're saying is That it just happens To align with our brand Which is something that Has a taste
2560.32 2565.54 SPEAKER_02  Well yeah And Duke's is loved For its unique flavour So you can see Flavour Flavour Flav Flavour
2565.54 2567.54 SPEAKER_06  Oh now I'm actually Getting a synergy now
2567.54 2570.86 SPEAKER_03  Synergy is that So long ago too Him getting that name
2570.86 2588.24 SPEAKER_02  And like mayo Flavour Flav Flavour is the ultimate hype man Adding flavour and spice But also complementing The main dish That's true Mayonnaise is kind of The hype man of the sandwich In a way It's not the hero element It's not the star But it does elevate The rest of the sandwich Yes
2588.24 2588.80 SPEAKER_06  Yes
2588.80 2608.00 SPEAKER_02  Mayo is the elevator Quote Flavour Flav And Duke's Mayo Now that's a flavour combo Said Flavour Flav Yeah Quote I brought the hype to Tubby The coolest Creamiest mascot In the game Because we're spreading The love Duke style
2608.00 2611.80 SPEAKER_06  Coolest Creamiest Mascot in the game
2611.80 2620.76 SPEAKER_09  He's just reading this Off like his palm To the To whichever camera Will point at him On his way to the bank He's picturing the next car He's gonna buy
2620.76 2621.26 SPEAKER_05  Yeah
2621.26 2625.78 SPEAKER_03  And of course If we were to rank Mascots From most
2625.78 2626.38 SPEAKER_02  Creaminess
2626.38 2641.04 SPEAKER_03  Least to most creamy They might be the creamiest As we're all often doing Yeah He's definitely the most Explicitly cream filled The most Mayo related Mascot in the game Hey
2641.04 2688.24 SPEAKER_02  I bet this sort of Really obnoxious Weird on purpose Sort of advertising Is a trend That's gonna continue Into 2025 We'll look at some Other trends That will go into 2025 In Trend Watch Now we did this last year Which you might remember From being really Ahead of the game Read trends Because we informed you So we're gonna do this again These are the top Trends for 2025 Across all of their Trend categories From the forecasting Company WGSN WGSN Now first up We have their Fashion Top trend Dayjamas Right
2688.24 2690.48 SPEAKER_09  I mean I've been Doing this for years Yes
2690.48 2693.84 SPEAKER_02  You're a dayjama man I'm a dayjama man Is this wearing
2693.84 2696.50 SPEAKER_06  Wearing your pyjamas Or is this like Lounge wear
2696.50 2702.92 SPEAKER_02  I think it's Wearing your pyjamas During the day Sort of for whatever
2702.92 2705.22 SPEAKER_06  Ah Are we talking like
2705.22 2707.96 SPEAKER_09  How ironic Semi-ironic Quasi-ironic
2707.96 2721.60 SPEAKER_02  Sincere Sincerely Like this shit's comfortable As luggage costs And size limits Become more restrictive Travellers seek Versatile items Catering to various uses Yes I like versatile items With various uses
2721.60 2722.78 SPEAKER_10  Yeah
2722.78 2729.96 SPEAKER_02  Dayjama sets In bold and fun Prints Transition wearers From beach To bar To bed
2729.96 2735.06 SPEAKER_06  Oh Like a Like a cabana set I'm thinking cabana sets Kind of
2735.06 2738.56 SPEAKER_03  This sounds a lot Like a thing that exists Yeah Also
2738.56 2746.58 SPEAKER_09  Track We've had track pants For a very long time We mainstreamed them We took them from mainstream You can't wear them to the bar And they don't
2746.58 2746.80 SPEAKER_03  Well
2746.80 2748.04 SPEAKER_09  You can't I mean
2748.04 2749.66 SPEAKER_03  You can't in the Sopranos They did it all the time
2749.66 2752.92 SPEAKER_09  In the Sopranos Oh legally You can't wear track pants To the bar
2752.92 2764.46 SPEAKER_02  Think of these As an upbeat revamp Of the sad old sweat set So here they're Sort of dismissing that Out of hand Because that's chuggy It's out of date That's not what we mean
2764.46 2770.46 SPEAKER_09  They're saying So that's sad to you Kind of me Just walking around With my hot sauce On my sweatpants
2770.46 2783.98 SPEAKER_02  Yeah For active wear Dayjamas Focus on rest And recovery With wellness ingredients Such as collagen Hyaluronic acid And cannabidiol Infused at the fibre level Sorry
2783.98 2784.62 SPEAKER_06  Pardon
2784.62 2790.64 SPEAKER_02  You have collagen Hyaluronic acid And CBD oil In the fibres Of your dayjamas
2790.64 2793.88 SPEAKER_06  I'm not a scientist But that is False Not true
2793.88 2798.94 SPEAKER_02  You're not like Going to the gym Wearing CBD Dayjamas
2798.94 2802.56 SPEAKER_06  CBD Dayjamas
2802.56 2805.48 SPEAKER_03  Are these In the office Oh
2805.48 2806.64 SPEAKER_06  It absorbs through my pussy
2806.64 2813.04 SPEAKER_03  See you've noticed My CBD infused Dayjamas Actually really high Bioavailability So
2813.04 2818.72 SPEAKER_02  Don't worry There's no psychoactive Component I put on my THC dayjamas When I get home
2818.72 2822.52 SPEAKER_06  Yeah
2822.52 2830.10 SPEAKER_02  WGSN's data Show sleepwear Outperforming dresses And swimwear Within the resort wear Mix over the past Two years Shut up What do you mean
2830.10 2831.68 SPEAKER_07  Your data shows this
2831.68 2851.76 SPEAKER_03  Oh my god This is such a Like Just these Yeah Differences without A distinction Where they're just like Well there are You know Slightly different Categories of Comfortable clothes That don't show The stains To a huge degree And we think One is outperforming The other Fuck you What have we done
2851.76 2853.36 SPEAKER_06  What have we done To the world
2853.36 2854.00 SPEAKER_03  What have we done
2854.00 2855.98 SPEAKER_02  Yeah Will god forgive us
2855.98 2857.54 SPEAKER_06  Absolutely not
2857.54 2863.20 SPEAKER_09  No No We brought monsters Into the world He didn't He gave us A perfect world
2863.20 2867.76 SPEAKER_06  Yeah We didn't need to put The cannabinoil In the Dayjamas
2867.76 2873.06 SPEAKER_02  You got collagen In your dayjamas Like what are you Fuck What Who is
2873.06 2881.92 SPEAKER_10  I don't think it works I don't think it works What's going on there It can't be I mean It can't be absorbed I can You're getting that Plump pork
2881.92 2900.76 SPEAKER_02  The next top trend Is in their beauty Category And it is Therapeutic laziness In 2025 We will embrace A new evolution Of self-care Therapeutic laziness Building on the Anti-wellness movement This trend elevates Are you talking about
2900.76 2904.18 SPEAKER_06  Downtime Oh no They're talking about Bed rotting
2904.18 2917.94 SPEAKER_02  They're talking about Bed rotting Yeah Building on the Anti-wellness movement This trend elevates Bed rotting Or spending extended Time in bed And being intentionally Unproductive Into a refined Self-care ritual Loaded with Tactile hedonism
2917.94 2920.30 SPEAKER_06  Oh it's elevated Bed rotting Elevated bed rotting You know we had
2920.30 2930.62 SPEAKER_02  Kind of a cultural Moment where people Were like no no no We're tapping out Of this sort of Cycle of aggressive Productivity This feeling that Under capitalism You have to always Be doing something
2930.62 2931.00 SPEAKER_05  Yeah
2931.00 2939.82 SPEAKER_02  We're fucking that Right off And then now That idea has been Completely subsumed Back into consumerism Yes By these fucking Vulture people
2939.82 2947.38 SPEAKER_09  Yeah There is There is No idea That capitalism Can't rebrand Yeah And sell back to you
2947.38 2947.84 SPEAKER_02  Yeah
2947.84 2948.96 SPEAKER_09  It'll all be absorbed
2948.96 2954.56 SPEAKER_02  By the machine Tactile hedonism Tactile hedonism That's jacking off
2954.56 2958.08 SPEAKER_06  You talk about jacking off Or is it like fidget Is it fidgeting Is it stimming
2958.08 2959.24 SPEAKER_02  Fidgeting Yeah
2959.24 2961.16 SPEAKER_09  I think it's jacking off
2961.16 2969.56 SPEAKER_02  The antidote to rising Levels of burnout And anxiety Therapeutic laziness Offers a guilt free Retreat where Therapeutic rest Meets beauty
2969.56 2974.34 SPEAKER_07  That's not the That's not the Antidote That's the palliative Yeah
2974.34 2979.48 SPEAKER_08  It's this Hey I fucking Is the enormous
2979.48 2985.96 SPEAKER_07  Unescapable machine Of capitalism Getting you down Why not lay in bed We've extended it
2985.96 2993.60 SPEAKER_02  Like even when you're In your bed You can't escape it We've extended The zones That we're like Monetizing To where you sleep
2993.60 2996.38 SPEAKER_06  You need to buy Products for bed Bed products
2996.38 3001.06 SPEAKER_02  You need dream products Elevated bed running Sleep is the escape Too bad
3001.06 3010.84 SPEAKER_09  Yeah We'll sell you dreams Wholesale Fuck These rules I genuinely feel so bad Yeah
3010.84 3013.26 SPEAKER_10  This year I feel so bad
3013.26 3018.26 SPEAKER_02  No this year's gonna be great We're tapping out From consumerism Yeah Through bed wellness
3018.26 3019.62 SPEAKER_06  Through buying more stuff
3019.62 3021.84 SPEAKER_02  Through buying products And services
3021.84 3030.92 SPEAKER_06  You sound like angry Gen X guys But stuff This really makes me sick You see it all over reels And there's just so many products Everything's products All the time
3030.92 3038.00 SPEAKER_02  And the people that are selling the products Often don't realise they're doing it Because they're little Zoomer content creators Who are like
3038.00 3052.64 SPEAKER_09  Yeah They're just kind of Taking all the language in And then just sort of Putting it in The Like Lifeless Rock tumbler Of their mind And spitting out words In different order That kind of makes sense
3052.64 3056.60 SPEAKER_02  With product recommendations For you to buy They're doing the advertising For free
3056.60 3077.72 SPEAKER_03  Can I offer An opposite direction To take here What we seem to be doing In my home Is Disconnecting from this kind of stuff And engaging in Like just Just enjoying And developing Like personal skills And doing I got I got Elna's loom
3077.72 3078.40 SPEAKER_04  Back out
3078.40 3153.80 SPEAKER_03  Her four shaft Floor loom And reassembled it She's gonna start doing Some weaving again Elna's been Baking sourdough again So she's got a She's got a Sourdough starter Living in the fridge She's wife-maxing She's wife-maxing She's wife-maxing You know I continue to enjoy Making all my foods And stuff She's doing She's doing Her sourdough Stuff Baking some sourdough And she's also been Like making Other kinds of bread From like The sourdough Discard So As you like Bake from your sourdough You then sort of Take the Take the sourdough starter Back down to a point Where it's at the right Weight again And then you feed it With a prescribed Amount of flour And stuff like that And the stuff That you've taken out You can do stuff with You can make like Sourdough Discard crackers Or bread Or whatever And she's been doing that too And it is very delicious But also I've turned to her At some point And said We can't keep Eating this many Big sandwiches We can't keep eating Big delicious sandwiches All the time We're living Scooby-Doo style I'm trying to Make my own tortillas Do some of these things These are all things That you can just do With time And care And love And attention
3153.80 3157.68 SPEAKER_09  It's nice having something That doesn't involve You buying another thing
3157.68 3204.28 SPEAKER_03  You don't have to buy a thing If you want to do stuff If you want to make something If you want to learn How to make bread Or make tortillas Or maybe you're gluten free And you need to find Something else to do Maybe you should be Getting into Fermenting stuff Doing natural ferments Or pickling things Or making preserves Or whatever But you don't Need to put down A lot of money And these things Can absolutely serve As like Your own little Wellness activities Where you just give Time to yourself To do a process And put love And care Into a thing And then like Check it out At the end And go Okay What could be A little better Next time And then you just Build that into Your process You just keep going And there's no end to it You can be like The little old Japanese guy Who's been making sushi At the mall in Japan For like 40 years And he's just trying to He's just trying to
3204.28 3204.82 SPEAKER_04  Make it perfect
3204.82 3207.68 SPEAKER_03  Every time Yeah Nothing was wrong With that story Yeah
3207.68 3210.94 SPEAKER_02  Nothing was wrong With that story He was So happy
3210.94 3220.46 SPEAKER_03  With his own life Very happy And his two adult sons That's right Hey they can make Their own restaurant If they're so hung up on it Jiro has no regrets
3220.46 3223.32 SPEAKER_02  I believe Was the name of the documentary I'm not talking about
3223.32 3226.98 SPEAKER_03  Jiro specifically I'm not talking about Jiro specifically
3226.98 3228.80 SPEAKER_09  I know There is something
3228.80 3238.16 SPEAKER_03  To going like The pursuit of perfection In a craft Just for yourself It doesn't have to be For anyone else Or any of your Ungrateful adult sons
3238.16 3252.60 SPEAKER_09  I bought my acoustic guitar When I was like 16 years old And I've still got it And I can kind of play Trains by Porcupine Tree On it And that's alright for me Right Yes That's just my nice
3252.60 3263.22 SPEAKER_03  Little thing that I got Just do things For yourself And to do these Sorts of pursuits Yeah you don't have to be Like constantly buying shit You can just be buying Some flour Or if you do have money
3263.22 3265.32 SPEAKER_06  Warhammer figurines Warhammer
3265.32 3273.54 SPEAKER_02  Yeah Warhammer figurines Yeah games workshop Get a friend with a good Resin 3D printer To print them for you Don't fucking buy them That company sucks ass
3273.54 3280.18 SPEAKER_03  There's other things to do Other than engaging In the therapeutic Laziness economy Also
3280.18 3287.50 SPEAKER_08  Also you don't need A company Or a brand To tell you How to lie in bed No Look inside yourself
3287.50 3290.72 SPEAKER_02  Let a podcast That you pay for Tell you to lie in bed Yeah you know how to lie in bed
3290.72 3307.52 SPEAKER_03  Take it easy Chill out Just I think I think this is the year To accept that like Social media's done You know Instagram YouTube Facebook It's all over It's all over Xtube
3307.52 3313.82 SPEAKER_09  Yeah And all these forces Are bigger than you As well So kick up It's all It's all over
3313.82 3314.70 SPEAKER_03  It's all dying
3314.70 3316.90 SPEAKER_06  Podcast maxing Podcast maxing
3316.90 3317.18 SPEAKER_03  22
3317.18 3320.04 SPEAKER_06  And that means paying All the creators That you like
3320.04 3320.64 SPEAKER_03  Yeah
3320.64 3325.54 SPEAKER_06  Spend all your money On that Instead of The loungewear Cannabin oil
3325.54 3331.18 SPEAKER_03  Well you can incorporate That into your other activities You can listen to a podcast While you do Something nice and slow For yourself
3331.18 3367.68 SPEAKER_02  While you rub CBD oil Into the crotch of your jeans Just buy your own oil There's so much more of this to go Our beds will become wellness zones And self-care sanctuaries Stop telling me that my bed's going to become a zone Stop zoning my bed That's the jack-off zone Think Treat while you laze products That enhance skin and hair health While you unwind Or Sensorial bedding Imbued with nourishing ingredients And scents That bridge the gap Between skincare and sleep Leave my sleep alone
3367.68 3370.74 SPEAKER_07  Leave my sleep Leave We don't need to be doing something
3370.74 3378.46 SPEAKER_09  While we're lying down That's the point of lying down You don't need to be cramming more things Into the thing The time when you're not doing a thing
3378.46 3383.98 SPEAKER_02  Sensorial bedding With nourishing ingredients Oh yeah Beds don't have ingredients
3383.98 3389.46 SPEAKER_06  It's for your sleep hygiene You gotta have your fucking Like lavender oil On your pillow Or something No There's all this shit
3389.46 3392.48 SPEAKER_02  You've gotta do We've accepted That sheets have a thread count
3392.48 3395.04 SPEAKER_09  That's all I'm gonna accept God damn
3395.04 3408.48 SPEAKER_02  Sleep tourism will also have a new allure With hotels and retreats Offering rest programs And serene spaces With sleep enhancing amenities From AI smart beds To prescription scented lullabies Fuck
3408.48 3420.38 SPEAKER_03  So I did just watch Shut the fuck up I did just watch I watched Dream Scenario For the first time the other night So sleep tourism Is currently occupying A different A different space In my mind
3420.38 3423.06 SPEAKER_06  AI smart beds Yeah
3423.06 3427.24 SPEAKER_09  Not a thing Not going to happen I never sleep well in a hotel AI doesn't exist
3427.24 3433.52 SPEAKER_06  No I wanna sleep in my own fucking home I wanna sleep in my bed With my shit pillow And my stuff I love my bed Yeah
3433.52 3434.92 SPEAKER_09  Take Kaczynski's dead right
3434.92 3435.68 SPEAKER_10  My wife is there
3435.68 3438.64 SPEAKER_09  Yep Like he died right
3438.64 3439.40 SPEAKER_10  Yeah
3439.40 3445.90 SPEAKER_06  Did we kill him Did we kill him Can we just get too old Deep state get him Are you trying to recruit or
3445.90 3447.56 SPEAKER_03  Didn't even know he was sick
3447.56 3449.86 SPEAKER_02  Oh he only died in 2023 Rips
3449.86 3456.58 SPEAKER_03  Oh man Well maybe if we're lucky He's been reincarnated Welcome back Ted Kaczynski Yeah
3456.58 3466.34 SPEAKER_09  You'll need to This is a covert This is a covert mission You'll need to acquire weaponry On site Man
3466.34 3482.32 SPEAKER_02  In an era of relentless pressure This trend is one Everyone can support Offering a universally indulgent And restorative appeal Sleep isn't indulgent Sleep is like a It's the thing that kills you Fastest if you don't have any Yeah Like I know
3482.32 3494.18 SPEAKER_03  I know you're desperately Trying to move on Ben But like When I'm just wondering about The start of this Where it says Building on the Anti-wellness movement What did they mean by that?
3494.18 3498.34 SPEAKER_06  This is pro-wellness They're talking like It's the same shit
3498.34 3504.00 SPEAKER_02  Like not going to the gym? Yeah it's not active stuff It's like passive stuff But it's the same shit It's the machine trying to sell you
3504.00 3505.20 SPEAKER_06  Skincare products
3505.20 3506.16 SPEAKER_02  And hair care products
3506.16 3506.36 SPEAKER_06  Yeah
3506.36 3512.72 SPEAKER_09  They're clipping both sides of the ticket Yeah Yeah yeah yeah Because like Which I guess happens by default So they're clipping it twice then
3512.72 3525.44 SPEAKER_03  With all of this shit Like the day dramas thing Where it's like Because luggage costs And size limits Keep becoming more restrictive You should do this As opposed to You know We should be Bombing airlines Parody Parody Parody
3525.44 3526.50 SPEAKER_00  Yeah Who cares?
3526.68 3544.22 SPEAKER_03  Instead of it being A problem with like Capitalism and airlines And all that shit It's your issue to fix In the same way That it's like Hey You should do something Really indulgent Like Yeah Getting an appropriate Amount of sleep In a comfortable bed As though that isn't just What it should be
3544.22 3551.90 SPEAKER_02  If you have so much Sleep debt That you want to pay Like a couple of hundred bucks Or more To go stay at a hotel Just to get a good sleep
3551.90 3552.80 SPEAKER_01  Oh my god
3552.80 3558.54 SPEAKER_02  Sort your fucking life out Maybe buy Use that money to buy A better mattress Or something Maybe
