0.00 18.90 SPEAKER_02  Hello everyone and welcome to this, the first free episode of 2024.
1539.08 1543.44 SPEAKER_06  You have to like create this sense of it like undermining the fabric of society somehow.
1544.18 1544.78 SPEAKER_06  Yeah, absolutely.
1545.22 1550.88 SPEAKER_02  So we move on to to a startup or shall we talk about the new Tory losers caucus?
1551.30 1552.14 SPEAKER_02  A palette cleanser.
1552.82 1553.14 SPEAKER_02  Yeah.
1553.42 1553.88 SPEAKER_02  Why don't we start?
1553.92 1555.08 SPEAKER_02  Let's kick off the year with a startup.
1555.24 1556.68 SPEAKER_02  We know the Tory losers caucus.
1556.68 1566.08 SPEAKER_02  It's like they're trying to create a sixth family that's like socially liberal and has a constituency of exactly zero people.
1566.08 1568.96 SPEAKER_04  The socially liberal Tories are such sweethearts.
1569.06 1573.16 SPEAKER_04  I can't wait for them all to like defect off to the Lib Dems or something.
1573.34 1574.10 SPEAKER_02  That immediately lose.
1574.10 1575.10 SPEAKER_04  Exactly.
1575.10 1575.54 SPEAKER_04  Exactly.
1575.68 1578.74 SPEAKER_04  Listen, I you know my feelings about Penny Morden.
1579.04 1579.26 SPEAKER_04  Right.
1579.32 1583.90 SPEAKER_04  And I hope that she remains politically harmless for many years to come.
1583.90 1594.60 SPEAKER_02  You know, it is very funny, though, seeing like after the experience of the last several elections, seeing Simon Fell, the MP for Barrow and Furnace, saying elections are won in the center ground.
1594.66 1598.76 SPEAKER_02  And after a divisive few years, the people of Britain are craving a calmer, more pragmatic politics.
1598.84 1599.60 SPEAKER_02  It's like, no, they're not.
1599.66 1600.38 SPEAKER_02  They want fun.
1600.76 1602.08 SPEAKER_02  They want the fun.
1602.08 1604.64 SPEAKER_02  And it's like we are going to do no fun.
1604.74 1605.74 SPEAKER_02  We're going to be the end.
1606.06 1608.08 SPEAKER_02  They're desperate for the fun to come back.
1608.42 1611.40 SPEAKER_04  If Corbyn had had jokes and he kind of does have jokes.
1611.40 1618.94 SPEAKER_04  But if Corbyn had been like more of a Boris figure who was a laugh, I think we would be living in a kind of socialist utopia at this point.
1619.30 1621.80 SPEAKER_06  Yeah, I honestly, that is my most cranked opinion.
1621.96 1631.00 SPEAKER_06  If Jeremy Corbyn had had more of a like Bernie Sanders energy, if he'd have just refused to answer the stupid questions and called people fucking cretins live on air.
1631.00 1632.12 SPEAKER_06  I don't know.
1632.20 1633.34 SPEAKER_06  I think it could have gone differently.
1633.64 1634.58 SPEAKER_04  Should have listened to us.
1634.58 1637.40 SPEAKER_04  Should have listened to us about bringing the nonce detector into the comments.
1639.32 1641.40 SPEAKER_06  It's going beep, beep, beep, beep, beep.
1641.46 1641.94 SPEAKER_04  I'm sorry.
1643.94 1647.52 SPEAKER_06  My honorable friend is being beeped at by the nonce detector.
1647.98 1648.58 SPEAKER_06  Look, I don't.
1648.66 1649.64 SPEAKER_06  I can't retract it.
1649.70 1650.62 SPEAKER_06  It's the nonce detector.
1652.30 1655.68 SPEAKER_02  I would like to advance that my honorable friend has dropped his pocket.
1657.56 1658.28 SPEAKER_02  All right.
1658.30 1659.44 SPEAKER_02  Let's talk about Honu.
1659.44 1662.48 SPEAKER_02  And then I'll hand off to myself in the future past.
1662.92 1664.38 SPEAKER_02  They can call you Honu.
1665.00 1665.36 SPEAKER_02  Yes.
1665.66 1666.66 SPEAKER_02  Yeah, it's Honu.
1666.84 1668.16 SPEAKER_02  And they're calling Milo Honu.
1668.62 1669.06 SPEAKER_02  That's right.
1669.42 1670.14 SPEAKER_04  What do we think?
1670.22 1670.56 SPEAKER_04  Come on.
1670.72 1671.00 SPEAKER_04  Hit me.
1671.44 1671.92 SPEAKER_04  Honu.
1672.00 1675.10 SPEAKER_04  Honu sounds like the name of an individual robot to me.
1675.56 1675.96 SPEAKER_04  Yeah.
1676.18 1676.40 SPEAKER_04  Yeah.
1676.42 1677.30 SPEAKER_06  Like a Sony iBone.
1677.56 1681.26 SPEAKER_06  It sounds like something Hussain would talk to me about and I wouldn't be completely listening.
1683.46 1684.34 SPEAKER_04  Boston Honu.
1684.62 1685.68 SPEAKER_04  Boston Honu.
1685.68 1691.06 SPEAKER_02  It's actually a new paradigm that will underpin an AI first economy that's also entirely new.
1691.24 1691.74 SPEAKER_02  Oh, fuck.
1691.78 1695.12 SPEAKER_04  If it's a new paradigm, I feel bad for making fun of it now.
1695.24 1699.54 SPEAKER_04  Because the thing about me is in my daily life, I can't get enough paradigms.
1699.58 1699.78 SPEAKER_04  Yeah.
1700.04 1700.64 SPEAKER_04  Big paradigm head.
1700.88 1706.94 SPEAKER_02  Although, I think sometimes if someone's too into paradigms, it can show that they're kind of a bit right wing.
1706.94 1714.86 SPEAKER_04  A lot of paradigm heads are right wing, but I don't accept that that's determinative.
1715.26 1718.42 SPEAKER_02  So, no, it is the next generation of business, they say.
1718.74 1721.58 SPEAKER_02  We built on AI and inspired by human passions.
1721.98 1724.24 SPEAKER_02  We sit at the forefront of what is possible.
1724.58 1726.70 SPEAKER_02  Sorry, inspired by human passions.
1726.88 1728.42 SPEAKER_04  Yes, inspired by human passions.
1728.64 1729.80 SPEAKER_04  I love to be inspired.
1729.82 1731.32 SPEAKER_04  Your human feelings.
1731.32 1733.80 SPEAKER_05  This does read like it was written by AI.
1733.80 1733.92 SPEAKER_04  I'm a normal man.
1734.06 1735.74 SPEAKER_05  I'm inspired by human passions.
1736.00 1736.96 SPEAKER_05  As we all are.
1738.76 1744.60 SPEAKER_05  But I think there's a more important issue here, which is that there is a paradigm, shall we say, shifting.
1746.80 1747.70 SPEAKER_02  The vibe shift.
1747.80 1748.92 SPEAKER_02  This is the vibe shift, though.
1749.02 1750.72 SPEAKER_02  Yeah, well, they're trying to do another one.
1750.72 1758.88 SPEAKER_02  Which is they're pioneering a new paradigm that lays the next generation rails for autonomous agents and transforms the entire economic ecosystem.
1759.44 1764.30 SPEAKER_04  If Corbyn had like got up at the dispatch box and said, like, Mr. Speaker, vibes are fucked.
1764.82 1765.80 SPEAKER_04  The vibes have shifted.
1766.36 1767.80 SPEAKER_02  Again, socialist utopia.
1768.52 1772.80 SPEAKER_02  And transforms the entire economic ecosystem into a smart connective tissue.
1772.80 1781.84 SPEAKER_02  We will forever transform how all businesses work with HONU autonomous agents working in symbiosis with humans at the right time and place.
1781.96 1785.10 SPEAKER_02  It's like the universe conspiring to make your business the best it can be.
1787.40 1790.98 SPEAKER_04  Again, there's something about the way this is written that I can't quite put my finger on.
1791.18 1796.86 SPEAKER_04  Between human passions and the universe conspiring to make your business better.
1796.86 1803.52 SPEAKER_04  It's just kind of like someone has read a lot of E&M banks before sitting down to write this.
1803.66 1813.46 SPEAKER_02  I think the universe conspiring to make your business the best it can be is kind of one of those, an extension of a kind of multi-billion year Wiggism that a lot of AI people have.
1813.96 1819.94 SPEAKER_04  Which is that the moral arc of history may be a billion years long, but it tends towards justice.
1820.38 1822.32 SPEAKER_02  It tends towards making your business.
1822.90 1826.18 SPEAKER_02  Yeah, it tends towards a technological singularity.
1826.18 1838.66 SPEAKER_02  So it's like they say, their argument basically is that, well, if there was enough hydrogen in the universe that it eventually collapsed into other elements and eventually out of that arose life and eventually out of life arose sentient life.
1839.10 1843.22 SPEAKER_02  And sentient life inevitably created AI, which means that God is real.
1843.36 1844.40 SPEAKER_02  We just haven't invented him yet.
1844.46 1847.70 SPEAKER_02  And he's there to make your dropshipping business way better and more automated.
1849.70 1850.14 SPEAKER_02  Awesome.
1851.70 1853.84 SPEAKER_04  Yeah, I'm thinking about the climate again.
1853.94 1854.18 SPEAKER_04  Sorry.
1854.18 1857.40 SPEAKER_04  Yeah, there is no God but Allah and Shopify is his prophet.
1858.30 1867.94 SPEAKER_02  So this is called, they call it the OS for an AI first economy, where the idea is that you, in order to make a business, you need people.
1868.50 1868.68 SPEAKER_02  Sure.
1869.10 1870.36 SPEAKER_02  For now, Mr. Shopper.
1870.36 1870.88 SPEAKER_02  Yeah, well, exactly.
1871.08 1876.80 SPEAKER_02  What if you can make an entire business that's just AI agents mostly working with one another and other people's AI agents?
1876.80 1879.56 SPEAKER_04  Oh, so it's like an ant farm of bullshit.
1879.56 1882.86 SPEAKER_04  And you just look into it and be like, oh, this is probably making money.
1883.26 1884.06 SPEAKER_04  Ant farm of bullshit.
1884.18 1886.06 SPEAKER_04  They're the ones that did the cover of Smooth Criminal.
1887.90 1893.40 SPEAKER_02  CEO Imad Riachi says the idea for Hochu was inspired by watching his father build a small business while he was growing up.
1893.78 1897.62 SPEAKER_02  He said he saw his father make many preventable mistakes and eventually realized.
1897.76 1902.08 SPEAKER_04  This kid just like watching his dad start a business selling like printer toner or some shit like that.
1902.10 1903.66 SPEAKER_04  And he's like, yo, this guy's a dumbass.
1903.66 1905.16 SPEAKER_04  Why isn't he building an ant farm?
1905.46 1905.66 SPEAKER_06  Yeah.
1906.06 1908.80 SPEAKER_06  His spreadsheets are all over the shop.
1910.04 1913.24 SPEAKER_06  His ROI ratios are fucked.
1914.04 1918.18 SPEAKER_04  Imagine being this kid's dad.
1918.60 1927.00 SPEAKER_04  And then you see he's giving interviews and he's like, yeah, my dad was such a fucking dipshit at running a business that I thought that predictive text could do it better.
1927.56 1929.66 SPEAKER_02  This is in an interview with Preseed Now.
1929.74 1932.28 SPEAKER_02  There's very little information about this business otherwise.
1932.28 1937.12 SPEAKER_02  Otherwise, I just thought it was interesting because the drive, right?
1937.82 1941.96 SPEAKER_02  It's the same drive that happened with the steam loom, right?
1942.18 1946.22 SPEAKER_02  Which is to create more things more quickly, automate more.
1946.38 1951.04 SPEAKER_02  And the more things are automated, then the more value the people who own the automators take.
1951.42 1957.64 SPEAKER_02  So the play here is to automate everything and then claim the value from all businesses or at least all back office functions.
1957.64 1960.96 SPEAKER_06  Something, something about the tendency of the rate of profit is something.
1962.46 1966.86 SPEAKER_02  Riachi says he sees a future where highly autonomous businesses are built on top of the infrastructure.
1967.52 1971.42 SPEAKER_02  But remember, like, we never talk about economic planning, right?
1971.48 1974.22 SPEAKER_02  It's just that you can never talk about a planned economy.
1974.22 1978.84 SPEAKER_02  Even though we do live in a planned economy, it's just the planning is slightly decentralized.
1979.30 1984.58 SPEAKER_04  The envelope again, you know, the back of the envelope, like, calculations, you know.
1985.14 1987.42 SPEAKER_00  Please stop writing on the back of the envelope.
1987.68 1988.28 SPEAKER_00  It hurts.
1990.16 1995.14 SPEAKER_02  And so what you're basically saying is, look, we want to, and this is something we even saw in the Henry Kissinger article.
1995.14 2001.28 SPEAKER_02  The goal here is I want to build an infrastructure that seeds a huge amount of economic planning to an AI.
2001.92 2008.00 SPEAKER_04  Yeah, you'd like stake as much of this territory out as you can ahead of time, as you say.
2008.20 2014.98 SPEAKER_02  Building a high-level autonomy into businesses is really going to pave the way towards the democratization of business creation and entrepreneurship across the world.
2015.72 2016.50 SPEAKER_02  But does what?
2016.94 2023.56 SPEAKER_02  Well, basically, what's stopping someone who, like, I don't know, a subsistence farmer, for example, in West Africa.
2023.56 2031.70 SPEAKER_02  What's stopping them from also living like the head of HSBC is that it's too difficult to recruit a human resources department.
2032.36 2041.56 SPEAKER_02  But if that person is able to create a business just of AI agents, then what's going to happen is all of the people who are...
2042.10 2050.66 SPEAKER_02  That the world will become a perfect meritocracy where everyone is ranked by their ideas because all execution just happens via autonomous agents.
2050.66 2059.66 SPEAKER_02  And so long as you're good at spinning them up and instructing them and you have a good idea, then we will actually live in a kind of libertarian utopia of constant contracting.
2060.74 2068.64 SPEAKER_06  A lone subsistence farmer who employs an HR person so that he can complain about the hours his boss is making him work, but his boss is also him.
2069.66 2072.72 SPEAKER_04  Yeah, I do all of my banking with Kenyan subsistence farmer.
2073.30 2073.70 SPEAKER_02  That's right.
2073.70 2074.30 SPEAKER_04  Goat standard.
2074.84 2080.78 SPEAKER_02  I feel this is very important because I'm an entrepreneur, but I feel like creating and running your own business is a form of expression.
2081.16 2083.68 SPEAKER_02  And I'd like to give many people that voice as possible.
2083.88 2084.66 SPEAKER_06  It's vibes.
2084.76 2085.72 SPEAKER_04  It's all vibes.
2085.94 2086.34 SPEAKER_04  Yeah.
2086.78 2087.06 SPEAKER_04  Yeah.
2087.28 2090.20 SPEAKER_04  Everyone should have the chance to be a kind of, like, bullshit entrepreneur.
2090.44 2091.40 SPEAKER_04  And this is the thing, right?
2091.40 2101.66 SPEAKER_04  The way that these guys live as, like, startup people in, like, the Bay Area or Miami or whatever, it seems so shit.
2102.08 2106.58 SPEAKER_04  Like, luxurious at times, but also, like, deeply, deeply miserable.
2106.96 2113.86 SPEAKER_04  And I don't just mean in terms of, like, being crammed into, like, some tiny apartment and then going out to, like, do coke with VCs.
2113.86 2118.50 SPEAKER_04  And then eventually one of them gets, like, stabbed in a, like, polycule bullshit thing.
2118.80 2122.86 SPEAKER_04  No, what I mean is that, like, the whole lifestyle, even the successful ones, right?
2123.26 2127.78 SPEAKER_04  To say that, like, everyone deserves the chance to live like fucking, I don't know, Mark Zuckerberg or whatever.
2128.08 2130.66 SPEAKER_04  So I've seen the way Mark Zuckerberg lives and it looks fucking awful.
2130.92 2131.90 SPEAKER_04  What if I don't want to?
2131.96 2142.76 SPEAKER_04  What if I don't want to, like, turn my subsistence farming podcast into sort of, like, an international bank so that I can go buy a sort of, like, survivalist bunker in Hawaii?
2142.76 2152.36 SPEAKER_02  Well, I think the other thing that they're saying, right, is that a business, whatever it is, the ultimate form of self-expression, the ultimate form of self-actualization is to be a CEO.
2153.16 2153.88 SPEAKER_04  And so long as...
2153.88 2155.84 SPEAKER_04  Jeff Bezos is the most self-actualized man in history.
2155.94 2157.22 SPEAKER_04  He might believe this of himself.
2157.36 2162.76 SPEAKER_02  I actually, I mean, that is a man who is, of all of the CEOs, he is the closest to Buddha nature.
2163.70 2165.10 SPEAKER_02  But he says, He's bold.
2165.38 2169.42 SPEAKER_02  We'll be moving towards AI-first businesses, which paved the way for an AI-first economy.
2169.42 2177.58 SPEAKER_02  And I see a world not very far from today where a non-negotiable chunk of GDP is created by highly autonomous businesses.
2178.38 2182.78 SPEAKER_02  So basically, the idea is you can create a business without employees just by having agents.
2183.34 2186.72 SPEAKER_04  We've got the car on this highway, right?
2187.10 2190.48 SPEAKER_04  And we're pretty certain if we just take our hands off the wheel.
2190.88 2192.94 SPEAKER_04  Listen, it's been going far and it's fine.
2193.08 2196.36 SPEAKER_04  Someone will probably invent cruise control, like, as it's being driven.
2196.70 2197.46 SPEAKER_02  Yeah, don't worry about it.
2197.46 2202.56 SPEAKER_02  And they say, when you're building autonomous agents or autonomous businesses, you need to optimize for a certain objective.
2202.78 2210.58 SPEAKER_02  And it's going to be very interesting to see the governance shifting a bit and having stakeholders have much more of a say in the value alignment with what these businesses are trying to create.
2211.02 2213.72 SPEAKER_06  I love it when stakeholders have a say in the value alignment, personally.
2213.96 2216.58 SPEAKER_06  This whole thing reads like it's been written by an AI.
2216.84 2217.46 SPEAKER_06  I'll say that.
2217.64 2220.76 SPEAKER_06  I think this guy might have already AI-ed himself out of existence.
2221.02 2221.04 SPEAKER_03  Yeah.
2221.30 2222.10 SPEAKER_06  Maybe he is an AI.
2222.16 2225.24 SPEAKER_06  Maybe it's like a Blade Runner situation where he doesn't even know he's an AI.
2225.24 2225.96 SPEAKER_05  Hmm.
2226.60 2232.44 SPEAKER_02  Well, and so we have the AI creating the other AIs that are going to take over the economy.
2232.98 2237.62 SPEAKER_02  But I just find it very interesting that the ambition expressed here, right?
2237.76 2244.78 SPEAKER_02  The ambition is, look, we could have the entire competitive economy just have no people in it.
2244.78 2246.84 SPEAKER_02  And instead, there's just CEOs and stakeholders.
2247.32 2256.86 SPEAKER_04  And with this dream of a perfectly frictionless, humanless, it's like a, you know, like an assembly line or like a clean room with only robots in it.
2257.16 2257.38 SPEAKER_06  Yeah.
2257.38 2264.98 SPEAKER_06  And also, again, as with all this AI stuff, it comes down to like, like in so many cases, it's like this is a thing you could just do with a computer before.
2265.46 2275.12 SPEAKER_06  This is like these guys who have businesses on like fucking like Redbubble or Shopify or whatever, where they just like put a load of drop shipping stuff up for sale, where they get a percentage.
2275.12 2281.94 SPEAKER_06  And then they just list it on other websites where people end up buying and they just make money for doing nothing just by like hosting a website.
2282.12 2285.74 SPEAKER_06  But what if the entire economy was run on that logic?
2286.18 2289.18 SPEAKER_06  Well, you'd get a lot of t-shirts about welders who were born in July.
2289.34 2289.90 SPEAKER_06  I'll say that.
2290.10 2291.94 SPEAKER_06  That'll be the only form of clothing.
2292.40 2293.78 SPEAKER_06  The army will wear that.
2293.86 2294.76 SPEAKER_02  That will be the uniform.
2294.76 2298.30 SPEAKER_02  What about food production, all this stuff, AI?
2298.66 2299.56 SPEAKER_02  And how do you get it?
2299.64 2301.14 SPEAKER_02  You influence it.
2301.20 2301.94 SPEAKER_02  You interpret it.
2302.28 2303.40 SPEAKER_02  You know how to tweak.
2303.58 2305.68 SPEAKER_02  A secret priesthood knows how to talk about it.
2305.68 2306.00 SPEAKER_02  Oh, yeah.
2306.04 2307.12 SPEAKER_02  We're going to go agnostic.
2307.58 2308.24 SPEAKER_02  God damn it.
2308.26 2309.70 SPEAKER_02  The secret priesthood again.
2310.06 2310.66 SPEAKER_02  Well, that's the thing.
2310.78 2319.50 SPEAKER_02  If you want to, if you could, I think you can link this company and that Henry Kissinger article from like, well, later, earlier this year from last year.
2319.50 2320.56 SPEAKER_02  It's a real, real like tentpole.
2320.56 2332.68 SPEAKER_02  Yeah, which is, which, and that's what, because this is what, this is the practical application of what that would look like, which is we, it's, this is, this is someone saying, you wanted to hand over control of the economy to computer.
2332.90 2337.08 SPEAKER_02  Okay, hand it to my computer or I'll build the computers you can hand it to.
2337.70 2345.44 SPEAKER_02  And then all of a sudden, instead of just, it becomes about how well can you interact with the distributed God, basically.
2345.72 2347.68 SPEAKER_02  That's the, again, I'm not saying that's what's going to happen.
2347.72 2349.04 SPEAKER_02  I'm saying that's the belief system.
2349.04 2349.38 SPEAKER_02  Yeah, yeah, yeah.
2349.38 2350.26 SPEAKER_06  Yeah, the economy.
2350.42 2351.76 SPEAKER_06  Yeah, it's all on computers now, isn't it?
2351.78 2352.40 SPEAKER_06  Yeah, it's not a shop.
2352.46 2353.20 SPEAKER_06  It's just a computer.
2353.32 2354.06 SPEAKER_06  You don't go to a shop.
2354.12 2356.46 SPEAKER_06  There's just a computer down the street and you go and log on.
2357.14 2362.94 SPEAKER_04  The distributed God loves me because it gave me a t-shirt that says, don't mess with a welder born in January.
2363.48 2363.60 SPEAKER_02  Yeah.
2363.94 2367.70 SPEAKER_04  And though I neither know how to weld, nor was I born in January.
2367.70 2369.46 SPEAKER_02  The distributed God loves me.
2369.60 2374.54 SPEAKER_02  This I know because chat GPT told me so.
2374.54 2377.70 SPEAKER_04  It's a mysterious act of divine love and grace.
2377.70 2381.64 SPEAKER_04  And I myself feel that I'm sort of one of the elect in this.
2382.28 2385.36 SPEAKER_02  Anyway, anyway, I think that's all for Honu for today.
2385.80 2386.40 SPEAKER_02  A-I-R.
2386.50 2388.20 SPEAKER_02  Me with crap at GPT.
2389.36 2389.80 SPEAKER_02  Anyway.
2390.40 2391.70 SPEAKER_02  That's all for Honu for today.
2391.70 2399.44 SPEAKER_02  I'd now like to hand to myself in the past from my perspective, but the future in your perspective, for a little talk about planning.
2400.36 2401.80 SPEAKER_02  A little talk about planning.
2408.14 2410.90 SPEAKER_02  Hello, everyone joining us from the first half of the episode.
2411.14 2413.46 SPEAKER_02  It is just me, Riley, this time.
2413.46 2424.56 SPEAKER_02  That means it's time for another interview with an academic who actually knows what they're talking about, as opposed to us, you know, vaguely guessing, doing a Keir Starmer impression.
2424.78 2429.28 SPEAKER_02  I'm sure Milo probably did the Georgian Peter Griffin thing, and he seems to like that one.
2430.14 2431.74 SPEAKER_02  So we're leaving all of that.
2431.80 2434.34 SPEAKER_02  We're leaving childish things behind us in the first half.
2434.34 2450.96 SPEAKER_02  And instead, I'm going to have a conversation with Dr. Gareth Fern, who is at the Environment, Education, and Development Faculty at the University of Manchester, who has, among others, written a new paper called Planning for the Public, Why Labor Should Support a Public Planning System.
2451.40 2461.40 SPEAKER_02  And one of the reasons that I wanted to talk to Gareth today was that every single party has, in every sense, promised, we are going to change Britain.
2461.40 2463.64 SPEAKER_02  We're going to resolve its productivity crisis.
2463.64 2469.40 SPEAKER_02  We're going to solve its affordability crisis, all these things, by finally streamlining the planning system.
2469.80 2484.34 SPEAKER_02  Now, we've always tended to leave those things to the side, knowing intuitively that they're horse shit, but not necessarily knowing exactly why, other than that they're being sold by, I'd say, career charlatans.
2484.34 2495.18 SPEAKER_02  So to now help us understand what planning reform that would be worth the paper it's printed on would look like, easy sentence there, it is Gareth Fern.
2495.32 2496.28 SPEAKER_02  Gareth, welcome to the show.
2497.18 2497.70 SPEAKER_01  Thank you very much.
2497.76 2498.44 SPEAKER_01  Thank you for having me on.
2498.52 2504.14 SPEAKER_01  I hope I can bring the level of decorum and sort of astutis that you sat at the beginning.
2504.30 2505.00 SPEAKER_01  It's a lot to look up to.
2505.00 2509.84 SPEAKER_02  So let's hear your best George and Peter Griffin.
2510.56 2511.42 SPEAKER_02  No, no, no.
2511.54 2513.14 SPEAKER_01  I've been practicing all day, so yeah.
2513.14 2522.38 SPEAKER_02  So, as I said, right, it costs enormous sums of money to build anything in the UK from a wind turbine to a section of train track.
2522.90 2528.88 SPEAKER_02  And much of that, I think, is commonly believed to come down to our, frankly, insane planning system.
2528.88 2539.92 SPEAKER_02  And I can also say, as a big fan of techno, that planning frequently ends up closing my favorite venues, meaning I have to travel further and further out of town in order to access the music that I like so well.
2541.32 2558.42 SPEAKER_02  And I think, going back to something I was saying at the beginning, we encounter, whenever we look at these assessments of the UK's ills drawn up by people who often have no desire to fix them, so they say they will fix the planning system, and everything will more or less right itself from there as private investment is unleashed, which has been held back by red tape.
2558.88 2566.98 SPEAKER_02  And the universal fix for this, mostly on the Tory side, but also somewhat, with some exceptions on the labor side, is to, quote, streamline our inefficient planning system.
2567.44 2586.52 SPEAKER_02  So, can you please tell me and our listeners a little bit of what our planning system is looking like now, why people think it might need streamlining, and how some of the ills that we experience are related to the, what I find to be a, frankly, Kafkaesque nightmare of bureaucracy, the private bureaucracy?
2586.52 2633.56 SPEAKER_01  Yeah, so I think, I mean, yeah, the sort of project of streamlining planning is something that's been going on for about 40 years, and it gets brought up every maybe five or 10 years as a kind of project, usually when there's a crisis of some sort, or there's some sort of economic slowdown, for the exact reason you said, that kind of outline idea of like, yeah, we're going to unleash this market that's sort of hidden away and has been hitherto not able to produce housing, or infrastructure, or whatever it is, right? And they've actually tried to do that in the last maybe 10 years or so, and arguably that's created some of the problems we've had now. So, ever since the Conservatives got in in 2010, they've been trying to find ways to kind of streamline planning, so they've done so through national planning system policy, which was incredibly slimmed down from the previous Labor government in 2011-12.
2633.56 2668.62 SPEAKER_01  They've introduced what's called permitted development, which is, or extended, sorry, not introduced, extended permitted development, which is basically where you don't have to go through a full planning kind of committee to get a decision on a site, but into things like converting offices to residential, which is in turn led to like lots of very poor quality housing, particularly in London. So, streamlining is something they've been doing anyway, but what they've also been doing, and this is probably speaks to the problems and the sort of mess that we have at the moment within planning, is also cutting significantly financially the budgets of planning departments.
2669.30 2684.16 SPEAKER_01  So, 50% plus cuts to most planning departments, it's the biggest hit area of local government, because it doesn't, you know, it's not something like social care, which you, is much harder, which you have statutory sort of obligations to, and also that you, you know, obviously councils are less, are more reticent to kind of cut back on.
2684.16 2693.28 SPEAKER_01  So, planning has taken the brunt of the sort of public sector, local government cuts, which is, you know, the biggest cuts section of the public sector as well, right?
2693.30 2695.94 SPEAKER_01  So, it's like the sort of most cut bit within the most cut bit.
2696.82 2708.38 SPEAKER_01  And that's also, you know, not just in terms of overall funding, but also in terms of like paying conditions for people who work in planning, and really actually also, perhaps most dramatically, it's been like privatization of planning.
2708.38 2713.24 SPEAKER_01  So, that's like planners, so there's RTPI, which is the professional body for planning.
2713.56 2716.86 SPEAKER_01  They kind of every few years do a report on the planning profession.
2717.20 2723.58 SPEAKER_01  And a few months ago, the report said that we've now got over 50% of professional planners work in the private sector.
2723.96 2725.52 SPEAKER_01  They don't work exclusively in the private sector.
2725.62 2727.36 SPEAKER_01  They often work within the public sector as well.
2727.78 2738.30 SPEAKER_01  So, they'll work on a contract doing policy for a council, and then they'll work on another contract or in another team at some point later in the future, putting applications into planning departments.
2738.38 2738.64 SPEAKER_01  Right?
2738.96 2746.00 SPEAKER_01  So, all of these kind of things, I think, the sort of deregulation, the privatization, and also the sort of austerity, basically.
2746.68 2750.82 SPEAKER_01  All of these things have kind of combined to create a lot of the, like some of the problems you talked about at the beginning, right?
2752.24 2762.22 SPEAKER_01  Whether, you know, whether it's in housing, whether it's infrastructure, whatever, it means that the basic stuff that the planning system, even as it's currently constituted, is supposed to do is very difficult.
2762.22 2765.34 SPEAKER_01  So, like making a plan, for example, which you would think is quite difficult.
2765.34 2767.70 SPEAKER_02  Sounds like a basic task of the planning system.
2768.38 2771.84 SPEAKER_01  Like most plans are going to be out of date in a year or so in the UK.
2771.98 2773.50 SPEAKER_01  Like most local plans, like 70-odd percent.
2773.84 2783.06 SPEAKER_01  So, like just that basic ability to be able to do those kind of functional things, even like the things, even from a really neoliberal perspective, right, of actually delivering planning decisions quickly.
2783.70 2788.52 SPEAKER_01  Well, most planning decisions, like 70-odd percent, again, were delivered within the government's timeframes 10 years ago.
2788.52 2792.00 SPEAKER_01  And now it's like 20% because there's just not enough people to do the job.
2792.18 2793.74 SPEAKER_01  Like it's pretty straightforward why that's happened.
2793.94 2795.44 SPEAKER_01  Like it's not a new development.
2796.12 2797.16 SPEAKER_01  Sorry, it is a new development.
2797.28 2799.00 SPEAKER_01  It's not something that's been happening for a long time.
2800.14 2814.50 SPEAKER_02  And just to understand as well, right, like what we're talking about is, this is an explanation of the profusion of developments like one famously in Greenwich that had to then be torn down because it was given...
2814.50 2830.96 SPEAKER_02  My understanding is that it was kind of given quite slapdash approval that didn't actually meet any of the other requirements of the area or developers building buildings where they're able to wink and nudge at other planners saying, oh, yeah, there's going to be half affordable housing.
2830.96 2833.32 SPEAKER_02  And then they're all sort of...
2833.32 2844.00 SPEAKER_02  It's either a kayfabe or quite simply, the developers are managing to buffalo the sort of stretched thin planning staff so that they can once again have like...
2844.00 2858.10 SPEAKER_02  In some of Battersea developments with like the sort of insane sky pool, they're able to have affordable housing that's still like 750,000 pounds for a two-bed flat that's accessed via a poor door.
2858.10 2866.16 SPEAKER_02  You know, you can see that in all of these senses, things are getting approved that have sort of either no basis in law or no basis in common sense.
2866.60 2869.70 SPEAKER_02  And I think you can very squarely lay it at the door of what you're describing.
2870.60 2871.10 SPEAKER_01  Yeah, absolutely.
2871.32 2878.54 SPEAKER_01  And I think it's like that kind of speaks to a kind of relative and increasing weakness of the public sector in this regard, right?
2878.62 2884.36 SPEAKER_01  So it's not to say like, and I certainly don't want to say this, and I don't think many of the authors on the paper that we did would...
2884.36 2888.84 SPEAKER_01  are people that would argue that the planning system was great 10 years ago, right?
2888.86 2889.68 SPEAKER_01  Everything was fantastic.
2889.96 2893.66 SPEAKER_01  And, you know, all the developments that were done with that were fine and etc.
2894.16 2905.54 SPEAKER_01  But there was at least like some capacity to contest or to shape decisions, even with that kind of more limited, even within the kind of, you know, new labor years, there was still some potential for that to happen.
2905.54 2925.90 SPEAKER_01  But now, like the idea that the, you know, the only real times that we see, and this is probably the genesis of like the sort of current debates about NIMBIs and NIMBIs and such like that, is that the only time you really see regularly people who are able to actually oppose the development is often very wealthy people in the sort of like home counties or something like that trying to oppose housing development.
2926.24 2927.54 SPEAKER_01  But when it's a working class community...
2927.54 2932.16 SPEAKER_02  Or MPs stopping a piece of railway from being put down in their constituency.
2932.16 2933.44 SPEAKER_01  Yeah, that sort of thing.
