0.00 29.06 SPEAKER_03  Welcome to Punta Vista.
1175.38 1181.44 SPEAKER_02  And then, to me, it feels like there's a missing step.
1181.68 1182.44 SPEAKER_06  There is, isn't it?
1182.46 1183.76 SPEAKER_06  I think someone's lying.
1183.96 1187.26 SPEAKER_06  I think someone's not telling the full truth.
1187.44 1189.04 SPEAKER_01  We're taking on a new position on this show.
1189.38 1190.64 SPEAKER_01  Believe perpetrators.
1191.08 1191.48 None  Believe, yeah.
1191.92 1193.02 SPEAKER_02  I'm just saying, there's a.
1194.08 1196.82 SPEAKER_02  So he's put the note on the car because he was parked in the swale.
1196.92 1199.66 SPEAKER_02  He said, don't fucking park in the swale, dipshit.
1199.66 1206.12 SPEAKER_02  And then something has happened because then he's put in the lights going directly into the bedroom.
1206.46 1206.78 SPEAKER_02  Yes.
1206.80 1208.76 SPEAKER_02  Put the flagpole on his property.
1209.88 1220.12 SPEAKER_01  You'd think that if the receiver of the note had gone, oops, and moved their car out of the swale, then perhaps he would not have gone full bane.
1220.34 1222.40 SPEAKER_02  You think everything's kind of sorted after that, right?
1223.12 1225.16 SPEAKER_02  Because this car's not in the swale anymore.
1225.32 1225.54 SPEAKER_01  Yeah.
1225.70 1226.38 SPEAKER_02  Problem solved.
1226.50 1227.82 SPEAKER_02  The swale is carless now.
1227.82 1229.50 SPEAKER_02  Is this Palm Beach, Florida?
1230.66 1232.64 SPEAKER_02  This is in Florida, I believe.
1232.88 1234.36 SPEAKER_06  This is Palm Beach Gardens.
1234.64 1235.78 SPEAKER_06  Palm Beach Gardens, Florida.
1235.88 1241.96 SPEAKER_06  I'm just wondering if one of those Havana rays went astray.
1242.30 1244.14 SPEAKER_06  Because they're so close to Cuba.
1244.76 1246.28 SPEAKER_02  That might have happened.
1247.62 1247.80 SPEAKER_01  Yeah.
1247.86 1256.74 SPEAKER_01  If he had looked out his window and seen a carless swale, as we all want to see, he would have just thought, job well done.
1256.74 1259.18 SPEAKER_01  Another offender vanquished.
1259.48 1259.58 SPEAKER_02  Yeah.
1259.66 1259.86 SPEAKER_02  Yeah.
1259.94 1262.74 SPEAKER_01  If that swale was Picard, I'd be furious.
1263.32 1266.78 SPEAKER_01  But instead, it doesn't seem like that was the end of it.
1267.08 1267.30 SPEAKER_06  No.
1267.42 1268.08 SPEAKER_01  Sort of cut away.
1268.08 1269.68 SPEAKER_01  Due to all the stuff happening after.
1269.86 1271.66 SPEAKER_01  Steam forming on his brain.
1271.96 1272.26 SPEAKER_01  Yep.
1273.46 1274.16 SPEAKER_01  Something must have happened.
1274.16 1276.14 SPEAKER_01  The thing that made him go psycho mode.
1276.14 1286.88 SPEAKER_02  Maybe he saw the guy take the note out from under his windshield and read it and then go, roll his eyes, scrunch it up into a ball and throw it over his shoulder.
1287.44 1288.52 SPEAKER_02  Maybe that happened.
1288.74 1289.08 SPEAKER_06  Maybe.
1289.08 1290.56 SPEAKER_02  And now he's fucking furious.
1290.56 1291.96 SPEAKER_02  And he's doing all this other stuff.
1291.96 1294.74 SPEAKER_02  Like being really rude to his wife.
1294.74 1297.24 SPEAKER_06  I'm just saying that there's any number of excuses.
1297.96 1298.78 SPEAKER_06  Maybe he saw.
1298.78 1299.60 SPEAKER_02  And we're going to find one.
1300.14 1314.50 SPEAKER_01  He saw the offender go down to the car, get the note, read the note, get into the car, close the door, start the car, turn the car back off, step back out of the car, close the car and lock it.
1314.50 1315.58 SPEAKER_01  Throw the note away.
1315.90 1316.04 SPEAKER_02  Yeah.
1316.12 1319.46 SPEAKER_02  And then turn towards Kaluhi Hino's house.
1320.28 1321.12 SPEAKER_02  Double birds.
1321.52 1321.78 SPEAKER_01  Yep.
1322.10 1326.66 SPEAKER_02  Throws his head back in a big like anime character laugh.
1326.82 1327.02 SPEAKER_01  Yep.
1327.12 1330.40 SPEAKER_01  Turns around and throws his own keys off into the field.
1332.92 1334.20 SPEAKER_01  Car's not going anywhere.
1334.58 1336.28 SPEAKER_01  This car lives in the swale now.
1337.10 1339.84 SPEAKER_01  This swale has a car and that's just how it is.
1339.84 1347.26 SPEAKER_02  The arrest report continued to say Kaluhi Hino then told the victim he intended to make his, quote, life miserable.
1348.12 1352.02 SPEAKER_02  Police records show that Kaluhi Hino was intoxicated and belligerent.
1352.34 1352.88 SPEAKER_04  Sounds like it.
1353.12 1353.30 SPEAKER_06  Yeah.
1353.66 1358.26 SPEAKER_06  Also, I think actions speak louder than words and everyone's already kind of realized that by now.
1358.52 1358.74 SPEAKER_02  Yeah.
1358.76 1363.48 SPEAKER_02  I don't think saying I'm going to be angry at you really makes a difference if he's demonstrated it.
1363.48 1363.70 SPEAKER_06  Yeah.
1363.72 1366.10 SPEAKER_06  I'm going to be angry at you for a while longer.
1366.50 1366.70 SPEAKER_06  Yeah.
1366.74 1369.02 SPEAKER_06  As per my previous actions.
1369.84 1375.12 SPEAKER_01  I'm so happy that where we live, we live between two old ladies.
1375.74 1382.16 SPEAKER_01  We are in a suburb, like an older suburb where there's like larger blocks, a lot of space between us and our neighbors.
1383.28 1390.14 SPEAKER_01  On one side, we've got like an old lady who is like very with it and feisty.
1390.44 1391.42 SPEAKER_01  She's always out in the garden.
1392.28 1392.98 SPEAKER_01  She's hip.
1393.28 1393.74 SPEAKER_00  She's hip.
1393.74 1394.36 SPEAKER_01  She's very with it.
1394.70 1396.48 SPEAKER_01  She's kind of rude about her own daughter.
1396.92 1397.16 SPEAKER_01  Yep.
1397.16 1399.74 SPEAKER_01  She's out there spinning a hula hoop on her hips.
1400.08 1415.12 SPEAKER_01  She is often playing some type of like ancient woodwind instrument in unison with her other daughter who also talks shit about the second daughter.
1415.12 1418.16 SPEAKER_01  But yeah, she's cool.
1418.62 1419.98 SPEAKER_01  She's very chill.
1420.14 1423.10 SPEAKER_01  And then on the other side, we have an old lady who is more of a hermit.
1423.10 1431.38 SPEAKER_01  And she came around recently to thank us for doing a bunch of like cutting back of stuff that's on the boundary between our two properties.
1431.38 1437.12 SPEAKER_01  And we hadn't seen her since before New Year's and Christmas and stuff.
1437.18 1440.08 SPEAKER_01  And we said, oh, we hope, you know, we've had some people around.
1440.22 1442.68 SPEAKER_01  We have dinner parties and we occasionally have party parties.
1442.68 1445.06 SPEAKER_01  And we said, oh, we hope the noise never bothers you.
1445.10 1446.54 SPEAKER_01  And she said, oh, I never hear anything.
1446.54 1453.18 SPEAKER_01  And she said, oh, once or twice I've like heard people just down the back of your place, like on the deck.
1453.18 1457.58 SPEAKER_01  But all I've heard is like people talking and laughing and having a good time.
1457.58 1458.36 SPEAKER_01  And that's nice.
1458.62 1463.90 SPEAKER_02  That's the healthiest instinct in the world is to be like, oh, I heard the sounds of people having a pleasant time.
1463.90 1465.82 SPEAKER_02  And I thought, well, that's nice.
1465.96 1466.60 SPEAKER_01  That's nice.
1466.60 1469.90 SPEAKER_01  And it's not bothering her at all because she never comes out of her house.
1470.62 1482.60 SPEAKER_01  And I think if you shared a boundary with someone who had just decided one day that you were their mortal enemy and they were going to spend every fucking day yelling psychos.
1483.18 1485.78 SPEAKER_01  Stuff with you installing flagpoles on your lawn.
1486.70 1490.04 SPEAKER_01  That's got to ratchet the tension up in your life a bit.
1490.20 1491.86 SPEAKER_01  You know, you don't really need that.
1491.96 1493.08 SPEAKER_01  No one really needs that.
1493.56 1496.06 SPEAKER_01  Although maybe somebody out there has got absolutely nothing going on.
1496.14 1497.16 SPEAKER_01  They're like, I need that.
1497.16 1501.38 SPEAKER_02  Oh, it's probably invigorating to have like a sole focus for all of your energy.
1502.20 1503.44 SPEAKER_02  Oh, I've got a nemesis now.
1503.70 1505.44 SPEAKER_06  Yeah, my nemesis next door.
1505.78 1508.46 SPEAKER_06  And you never get a nemesis when you're working for one, do you?
1508.54 1510.78 SPEAKER_06  Like they can tell when you're putting in too much effort.
1511.02 1512.50 SPEAKER_02  You look after yourself.
1512.70 1512.94 SPEAKER_02  Yes.
1513.18 1518.66 SPEAKER_02  And be in a state where you're receptive to whatever comes along and a nemesis will find you.
1518.70 1519.56 SPEAKER_02  You'll find each other.
1519.72 1524.56 SPEAKER_06  You have to be open to the universe for a nemesis to land into your life.
1524.56 1527.42 SPEAKER_06  Open the dark part of your heart to the universe.
1527.44 1530.46 SPEAKER_06  Yeah, be as annoying as possible to everyone around you.
1530.66 1533.20 SPEAKER_01  Start tailgating people, you know.
1533.44 1535.48 SPEAKER_01  Just as standard behavior.
1535.60 1538.44 SPEAKER_01  Don't pick a car and hope that's your nemesis.
1538.90 1540.10 SPEAKER_01  Tailgate everyone.
1540.10 1546.48 SPEAKER_06  Throw in a little horn beep if they've been sitting at the lights for like two or three seconds after the third green.
1546.48 1548.72 SPEAKER_02  The moment it goes green, start honking.
1548.72 1550.98 SPEAKER_01  The instant you see the green light, honk.
1551.10 1551.26 SPEAKER_01  Yeah.
1551.26 1554.18 SPEAKER_01  But if somebody honks at you, put on the handbrake.
1554.28 1555.08 SPEAKER_01  Put on the handbrake.
1555.22 1556.86 SPEAKER_01  Get out of your car straight away.
1556.86 1557.38 SPEAKER_01  Yeah.
1557.84 1561.58 SPEAKER_01  My point is, you've got to put out the energy that you want to get back from the universe.
1561.96 1564.06 SPEAKER_02  Start as you mean to go on.
1564.14 1564.38 SPEAKER_01  Yes.
1564.84 1565.24 SPEAKER_01  Yes.
1565.24 1570.46 SPEAKER_02  The following day, PBG...
1570.46 1573.40 SPEAKER_02  PBGPD.
1573.80 1575.78 SPEAKER_02  Fucking Palm Beach Gardens PD.
1576.00 1576.70 SPEAKER_01  PBGPD.
1577.12 1583.54 SPEAKER_02  PBGPD said officers responded to Kaluhi Hine allegedly yelling expletives from his backyard.
1584.06 1592.22 SPEAKER_02  On March 14th, officers returned due to ongoing disputes, including Kaluhi Hine driving onto the victim's driveway and kicking up mud and debris, according to the arrest affidavit.
1592.22 1592.62 SPEAKER_01  Yes.
1593.42 1605.74 SPEAKER_01  Like, that's very much from the episode of The Simpsons, the Bad Neighbors episode of The Simpsons, where Homer's like doing burnouts on the lawn and kicking mud up onto George Bush Sr.'s house.
1606.48 1609.50 SPEAKER_06  But he deserved it, because like the wars and stuff.
1609.52 1610.04 SPEAKER_06  The Gulf War.
1610.26 1610.88 SPEAKER_01  The Gulf War.
1611.50 1618.76 SPEAKER_02  As the days progressed, officers returned after Kaluhi Hine, quote, intentionally aimed another floodlight that shined into the victim's bedroom.
1618.76 1628.28 SPEAKER_02  Then, on March 20th, the victim told officers that he believed Kaluhi Hine pressure watched the word dick onto the sidewalk near the driveway of the victim's home.
1628.82 1631.94 SPEAKER_01  Like, I like the variety, I have to say.
1632.72 1633.90 SPEAKER_01  He's doing good so far.
1634.04 1634.86 SPEAKER_01  He's mixing it up.
1634.98 1636.82 SPEAKER_01  He wants to keep things lively.
1637.08 1639.06 SPEAKER_01  He wants to keep them guessing, and I appreciate that.
1639.40 1643.54 SPEAKER_06  Probably not enjoying so much the abject terror the neighbors are experiencing.
1643.54 1644.64 SPEAKER_01  Oh, who cares?
1644.72 1645.16 SPEAKER_02  They're fine.
1645.28 1645.56 SPEAKER_02  They're fine.
1645.56 1647.62 SPEAKER_01  I guess he's having fun with it.
1647.62 1647.74 SPEAKER_01  Grow up.
1647.76 1648.28 SPEAKER_01  That's all I'm saying.
1648.62 1651.52 SPEAKER_01  We don't have to empathize with everyone we mentioned in a story.
1651.76 1652.56 SPEAKER_01  Yeah, yeah.
1652.62 1659.26 SPEAKER_01  And if they didn't want this to happen, maybe they shouldn't have done whatever they did between getting the note about the swale.
1659.34 1662.82 SPEAKER_02  Whatever happened between the swale note and now?
1663.00 1663.32 SPEAKER_02  Yep.
1663.68 1665.20 SPEAKER_02  Maybe they should have handled it differently.
1666.44 1667.42 SPEAKER_02  You know what I think it is?
1667.42 1675.68 SPEAKER_02  I think that the guy has, oh, what's that thing that definitely neither of your kids has, Theo?
1675.84 1677.10 SPEAKER_02  The one where- Lyme disease?
1679.18 1683.14 SPEAKER_02  The one where you can't, if you tell them what to do, they react very badly to it.
1683.14 1683.84 SPEAKER_02  Oh, oh.
1686.52 1687.60 SPEAKER_02  Pathological demand avoidance.
1687.60 1689.12 SPEAKER_06  Pathological demand avoidance.
1689.12 1692.38 SPEAKER_02  I think the guy who parked his car in the swale has PDA.
1692.38 1702.34 SPEAKER_02  Yeah, so a note, even a polite note from his neighbor saying, hey, mate, just we can't park in the swale because it's actually a corridor for water runoff or whatever.
1702.70 1712.04 SPEAKER_01  I really like the idea that everything that we've heard up to this point and you've chosen to believe that the note was polite and reasonable.
1712.36 1712.52 SPEAKER_01  Yeah.
1712.90 1714.96 SPEAKER_01  But then this fucking guy has got the PDA.
1714.96 1717.66 SPEAKER_01  I love it when we pick the wrong side to story.
1718.08 1719.38 SPEAKER_02  Well, I'm saying both of them.
1720.22 1721.58 SPEAKER_02  Like the PDA thing is valid.
1721.58 1722.16 SPEAKER_02  I get it.
1722.16 1730.14 SPEAKER_02  I get some things that I think are very even polite requests for a change in my behavior or something that I feel is a criticism or make me-
1730.14 1733.88 SPEAKER_01  Anybody recommending a prestige TV show to me? Yeah, 100%.
1733.88 1735.06 SPEAKER_01  Never going to fucking watch that shit.
1735.08 1735.60 SPEAKER_01  No fucking way.
1735.62 1736.00 SPEAKER_01  Fuck off.
1736.12 1737.50 SPEAKER_01  Hey, you should really watch this thing.
1737.74 1738.36 SPEAKER_01  Should I?
1738.70 1739.66 SPEAKER_01  Yeah, you should watch Shogun.
1739.66 1741.38 SPEAKER_01  You fucking think I should watch all of The Wire?
1741.54 1742.28 SPEAKER_01  Is that what you think?
1742.34 1743.58 SPEAKER_01  Yeah, you should watch all of The Wire.
1743.58 1746.28 SPEAKER_02  I've heard two people say that this movie was really good.
1746.38 1747.52 SPEAKER_02  I'm not going to fucking watch it.
1747.80 1748.16 SPEAKER_02  Yeah.
1748.46 1749.76 SPEAKER_02  I'm watching Shooter again.
1750.06 1750.32 SPEAKER_06  Yeah.
1750.64 1750.96 SPEAKER_06  Yeah.
1750.96 1751.40 SPEAKER_06  Yeah.
1752.76 1754.76 SPEAKER_06  That's just being silly.
1755.12 1756.44 SPEAKER_02  It is, isn't it?
1756.66 1759.02 SPEAKER_02  Most things like that are just being silly.
1759.14 1761.52 SPEAKER_02  And you could probably just yell at your kids until it goes away.
1761.86 1762.12 SPEAKER_06  Yeah.
1762.12 1770.72 SPEAKER_06  This is reminding me like a lot of when we went camping last time and our time was completely ruined.
1770.72 1778.46 SPEAKER_06  And we should have known, like we went to our camping spot and we've been there like four times before.
1778.46 1783.86 SPEAKER_06  And it's like a national park, like booked spot kind of thing, right?
1783.86 1788.12 SPEAKER_06  So you go there and you don't know, like you're sharing a place with all other people.
1788.12 1802.10 SPEAKER_06  And we should have known there was something that was not going to be good when the truck arrived with the enormous fucking water tank sitting on the back of it to deliver to the site next to us.
1802.10 1802.72 SPEAKER_06  Mm-hmm.
1802.72 1809.32 SPEAKER_06  Because there was literally like 60 people that showed up to our quiet riverside.
1809.40 1810.02 SPEAKER_06  Oh, no.
1810.02 1811.02 SPEAKER_06  Yeah.
1811.02 1812.02 SPEAKER_06  Yeah.
1812.02 1813.02 SPEAKER_06  Yeah.
1813.02 1814.02 None  Yeah.
1814.02 1815.02 SPEAKER_06  Yeah.
1815.02 1821.26 SPEAKER_06  It was like 39 o'clock and they were all like in this big circle around the fire.
1821.92 1823.16 SPEAKER_06  And this is going to be really divisive.
1823.40 1824.46 SPEAKER_01  Because they're all in the big circle around your tent?
1824.94 1825.62 SPEAKER_01  No, no, no.
1825.62 1829.18 SPEAKER_06  But it was next to our tent because it's these little campsites, right?
1829.18 1829.24 SPEAKER_01  Yeah.
1829.24 1832.80 SPEAKER_02  For like your family of like four people, right?
1832.86 1837.26 SPEAKER_02  I won't even go to like a national park campground if it's going to be, if it's full.
1837.50 1842.16 SPEAKER_02  You want to be at least one empty campsite between everyone because they are very packed in.
1842.44 1842.56 SPEAKER_06  Yeah.
1842.56 1845.18 SPEAKER_06  This is not only not an empty campsite.
1845.38 1851.82 SPEAKER_06  There is like an order of magnitude more people here than they should have been, right?
1852.14 1854.08 SPEAKER_06  And they were right next to our tent.
1854.82 1858.54 SPEAKER_06  And they're just like, like I said, there's like 60 of them.
1858.92 1860.48 SPEAKER_06  And most of them are around the campfire.
1860.66 1862.42 SPEAKER_06  And they're just effing in Jeff.
1862.46 1867.02 SPEAKER_06  And you guys know I don't mind an effing Jeff, but next to our children?
1867.24 1868.02 SPEAKER_01  Were they younger than you?
1868.78 1869.18 SPEAKER_06  No.
1869.18 1873.04 SPEAKER_06  No, they were like a full spectrum of age.
1873.82 1877.10 SPEAKER_06  And it got to the point, like I went and talked to my, my father-in-law.
1877.26 1880.06 SPEAKER_06  I'm like, hey, like my kids are trying to sleep.
1880.20 1884.74 SPEAKER_06  This is, you know, should we go over there and ask them, hey, can they keep it down?
1885.88 1886.58 SPEAKER_06  Oh, you know.
1887.30 1888.34 SPEAKER_06  And eventually we did.
1888.40 1889.26 SPEAKER_06  We walked over there.
1889.54 1892.22 SPEAKER_06  We said, hey, you know, keep down sort of thing.
1892.22 1897.24 SPEAKER_06  I would have fucking killed to have been a fly on the wall.
1897.64 1898.20 SPEAKER_05  Shared campsite.
1898.34 1900.18 SPEAKER_06  Like very confidently I'm talking to them.
1900.80 1901.00 SPEAKER_06  Yeah.
1901.30 1906.46 SPEAKER_06  But kindly, with a kindness in my eyes and a softness in my hands so they could see that I was not a threat.
1906.68 1908.38 SPEAKER_06  Hey, give me a fucking break.
1908.38 1917.98 SPEAKER_06  And immediately, like fucking the snarls of like, get fucked, mate.
1919.84 1921.30 SPEAKER_06  Time is 10 p.m.
1921.54 1924.78 SPEAKER_06  You fucking, you get back there at your campsite, mate.
1924.86 1926.76 SPEAKER_06  And don't fucking come back here, all right?
1926.90 1927.82 SPEAKER_06  Jesus Christ.
1927.82 1929.78 SPEAKER_02  You just walked into wake in front.
1930.26 1933.02 SPEAKER_06  You fixing for a fight immediately.
1933.46 1933.66 SPEAKER_06  Shit.
1934.00 1934.44 SPEAKER_06  Immediately.
1934.60 1936.24 SPEAKER_06  Like they're drunk, right?
1936.24 1937.24 SPEAKER_06  Like they've all been drinking.
1937.38 1940.72 SPEAKER_06  But like it was like ratcheted up straight away.
1941.20 1946.42 SPEAKER_06  And we were like, okay, well, you know, it's either we walk back there or, you know, we.
1946.86 1949.26 SPEAKER_06  Burn a tent down to show that we mean business.
1949.64 1952.34 SPEAKER_06  We get killed with the first punch thrown.
1952.34 1960.66 SPEAKER_06  And so like I just had to lie there in our tent while they're like making fun of us and like all mocking each other and stuff.
1960.72 1966.06 SPEAKER_06  And like one guy would like go and turn up the music and be like, oh, no, mate, no.
1966.66 1967.86 SPEAKER_06  Better keep it down, eh?
1968.34 1970.20 SPEAKER_06  And it was fucked.
1970.24 1974.44 SPEAKER_06  It was one of the most humiliating, fucking terrifying experiences of my entire life.
1974.46 1977.64 SPEAKER_06  And then you have to wake up and they're still all there and go like.
1977.64 1982.62 SPEAKER_06  And my father-in-law, he's a much better man than me.
1982.72 1985.68 SPEAKER_06  He walks next door and is like, oh, sorry about last night, you know, blah, blah.
1985.74 1988.74 SPEAKER_06  And he's like, oh, you know, I'm sorry about it too.
1990.10 1993.74 SPEAKER_06  And I'm like, you have nothing to apologize for, dude.
1994.02 1994.22 SPEAKER_06  Yeah.
1994.28 1994.98 SPEAKER_06  You were good.
1996.64 1998.04 SPEAKER_06  We just have to leave.
1998.34 1999.58 SPEAKER_06  That's what we got to do.
1999.86 2001.64 SPEAKER_02  We got to leave this situation.
2001.64 2003.78 SPEAKER_02  Shared bathroom facilities with those guys.
2004.08 2007.34 SPEAKER_06  But imagine that that's your house, that that's like what you live in, right?
2007.34 2016.14 SPEAKER_06  Like that there's a fucking mad intoxicated cunt next to you, like 24-7.
2016.30 2017.16 SPEAKER_04  That's a nightmare.
2017.42 2019.36 SPEAKER_04  That's a kind of I got to leave, brother.
2019.76 2020.38 SPEAKER_04  We are packing.
2020.38 2026.50 SPEAKER_02  You're so lucky that Caitlin didn't pull the, well, raise the kids until they're ready to leave home.
2029.16 2030.72 SPEAKER_02  But I no longer respect you.
2031.54 2032.84 SPEAKER_02  Fuck, that's so rough.
2032.92 2034.24 SPEAKER_02  That is such a fucking nightmare.
2034.70 2035.34 SPEAKER_02  That is horrible.
2035.34 2035.90 SPEAKER_02  That is horrible.
2036.36 2041.78 SPEAKER_01  I am quite sure that your wife would respect you for attempting to do the right thing.
2041.78 2045.96 SPEAKER_06  Oh, she respected me less for attempting because she doesn't like a fuss at all, right?
2046.04 2049.36 SPEAKER_06  Oh, she's just like, just leave it alone and pretend to go to sleep.
2049.62 2050.22 SPEAKER_06  Just leave it alone.
2050.42 2050.62 SPEAKER_06  I'm like, I can't.
2050.62 2054.42 SPEAKER_02  You did provoke them into audibly making fun of you while you were sleepless.
2054.82 2055.22 SPEAKER_02  Yes.
2055.44 2056.78 SPEAKER_06  And my children as well.
2056.78 2060.84 SPEAKER_02  They made fun of the children or the children were also...
2060.84 2062.80 SPEAKER_06  No, no, in front of the children, I guess.
2063.24 2063.36 SPEAKER_02  Yeah.
2063.44 2064.26 SPEAKER_06  And they'll remember that.
2065.34 2066.36 SPEAKER_06  And they'll remember that.
2066.54 2069.00 SPEAKER_06  But you know, you go to a camping site, you want to hear, what do you want to hear?
2069.12 2071.92 SPEAKER_06  You want to hear the water just like running, trickling.
2072.28 2072.46 SPEAKER_06  Yeah.
2072.82 2076.72 SPEAKER_06  The quiet like hoots of a tawny frog mouth or maybe an owl.
2077.06 2077.34 SPEAKER_02  Yes.
2077.86 2078.80 SPEAKER_06  You want to hear whipbirds.
2079.10 2079.44 SPEAKER_05  Yes.
2079.66 2080.74 SPEAKER_05  Early morning whipbirds.
2081.10 2081.32 SPEAKER_05  Yeah.
2081.68 2086.12 SPEAKER_05  You don't want to hear paparazzi at 400 decibels.
2086.56 2087.18 SPEAKER_05  Jesus, fuck.
2087.66 2088.96 SPEAKER_02  Yeah, that's no good.
2090.08 2098.80 SPEAKER_02  The arrest report continues to detail instances where Kaluahine would turn on his leaf blower directly outside the couple's window, one time stating, Fuck you, fucking pussy.
2098.96 2100.00 SPEAKER_02  I'm going to beat your ass.
2101.32 2102.98 SPEAKER_02  Finally, the other guy didn't have PDA.
2103.28 2104.84 SPEAKER_02  That's such a shame.
2106.72 2116.24 SPEAKER_02  Three months later on June 29th, PBGPD responded to the victim's report of Kaluahine allegedly destroying a security camera with a pole.
2120.64 2130.50 SPEAKER_02  Finally, on July 2nd, code enforcement conducted an on-site inspection and told Kaluahine to move the flagpoles which were off his property line and to move his floodlights to only face his patio.
2130.98 2132.52 SPEAKER_06  Just in time too, I'd say.
2132.52 2136.46 SPEAKER_06  You don't want to be rushing to these things.
2136.72 2136.94 SPEAKER_05  What?
2137.06 2139.60 SPEAKER_05  So this has been going on for like six months at this point.
2139.82 2143.54 SPEAKER_05  Six months of like living scared.
2144.46 2146.34 SPEAKER_05  Six months of like suburban Vietnam.
2147.28 2148.82 SPEAKER_01  But I feel like all of these things though.
2148.82 2149.46 SPEAKER_05  I love police.
2149.66 2150.94 SPEAKER_05  I love how we have police.
2151.28 2154.00 SPEAKER_01  Yeah, but also like what- Do they keep us safe?
2154.14 2161.34 SPEAKER_01  What are they- Like this is a genuine question and realizing of course that laws are different in different countries and all that sort of stuff.
2161.34 2169.44 SPEAKER_01  But like what are they supposed to be doing at this stage other than saying like, hey, we're giving you a warning about making the noise.
2169.94 2175.22 SPEAKER_01  Like we can, you know, we've received noise complaints and we'll potentially issue you a fine.
2175.66 2176.92 SPEAKER_01  We can ask him to stop.
2176.92 2180.18 SPEAKER_06  Anyway, you take away his PlayStation and it's not about punishment.
2180.18 2186.68 SPEAKER_06  It's about reducing the amount of negative time, the screen time, that sort of stuff.
2186.84 2189.80 SPEAKER_06  You got to bring that down as far as I understand it.
2191.74 2195.24 SPEAKER_06  Step two, drop him off in the next town like a stray cat.
2195.42 2195.56 SPEAKER_01  Yeah.
2195.82 2197.18 SPEAKER_01  Drive him over the county line.
2197.90 2200.28 SPEAKER_01  Like in Rambo First Blood.
2200.28 2202.60 SPEAKER_01  Yeah, he's Anaheim's problem now.
2203.14 2214.32 SPEAKER_02  If this was in the world of Ursula K. Le Guin's The Dispossessed, where the people on the moon of Anaris, is that what it's called?
2214.74 2214.84 SPEAKER_00  Sure.
2215.04 2218.34 SPEAKER_02  It's a completely anarchist society with no laws whatsoever.
2218.42 2222.16 SPEAKER_02  No police force, no judicial bodies that can make a ruling here.
2222.16 2233.12 SPEAKER_02  But because this guy was such at odds with his surrounding community, the community itself would reject his aberrant behavior until he either moved on or corrected it.
2233.16 2242.76 SPEAKER_02  So they could do it by denying him food at the local commissary or by just forming a large group and just kicking the shit out of him.
2244.04 2247.14 SPEAKER_02  So maybe like all of the neighbors could just kind of get to get.
2247.26 2250.60 SPEAKER_02  But then see, there's got to be a reason why it's just this guy battling him.
2250.60 2254.90 SPEAKER_02  It's not like everyone else on the street is like, yeah, this guy's a fucking problem.
2255.00 2255.96 SPEAKER_02  I think it's the PDA.
2257.10 2262.44 SPEAKER_02  I think he just reacted so strongly to the swale note that he kind of provoked this.
2264.90 2269.32 SPEAKER_02  Following other interactions with code enforcement, police said the calls against Kaluahine continued.
2269.50 2280.36 SPEAKER_02  This time the victims reported on July 16th that tarps were placed in Kaluahine's yard that said, fuck off scumbags in spray paint, as well as a middle finger painted on the tarp.
2280.60 2288.00 SPEAKER_02  Kaluahine told officers he put up the tarps because the victim had cameras facing into his yard.
2288.44 2289.74 SPEAKER_02  Hey, it's his yard.
2290.30 2291.28 SPEAKER_02  He can put up a tarp.
2291.90 2292.50 SPEAKER_02  I think you can.
2292.70 2294.00 SPEAKER_02  It's America still, right?
2294.04 2297.40 SPEAKER_02  So you can probably still have a tarp that says, fuck off scumbags.
2297.78 2298.36 SPEAKER_02  Hey, quick question.
2298.46 2298.86 SPEAKER_01  When you think about it.
2298.86 2299.56 SPEAKER_01  Is this still America?
2300.20 2300.38 SPEAKER_01  Yeah.
2300.50 2301.38 SPEAKER_06  Is this still America?
2301.38 2306.56 SPEAKER_06  When you think about it, those cameras are just capturing photons and not sending out photons like the lights.
2306.96 2307.14 SPEAKER_06  Yes.
2307.60 2307.86 SPEAKER_06  True.
2307.86 2315.36 SPEAKER_02  More instances of bright lights shining into the victims' windows occurred, prompting nightly checks with law enforcement.
2315.72 2323.82 SPEAKER_02  The PBGPD said on September 25th, officers responded to reports of Kaluahine allegedly spraying water on the victims' windows and walls.
2326.46 2329.44 SPEAKER_06  So I don't know what that's doing.
2329.44 2334.86 SPEAKER_06  Sometimes my kids just get so fucking amped up that you can't do anything to bring them down.
2335.30 2335.64 SPEAKER_06  Yeah.
2336.48 2337.46 SPEAKER_04  And like...
2337.46 2339.22 SPEAKER_02  They don't know why they're doing what they're doing.
2339.54 2339.86 SPEAKER_04  Yeah.
2340.30 2340.66 SPEAKER_02  You know?
2341.14 2341.66 SPEAKER_06  And you're like...
2341.66 2342.34 SPEAKER_06  But they do any of us.
2342.86 2346.62 SPEAKER_06  And it's not my job to end the tantrum.
2346.72 2349.30 SPEAKER_06  It's just my job to make sure that they're safe and secure.
2349.96 2350.16 SPEAKER_06  Yeah.
2350.16 2350.72 SPEAKER_06  And that's like...
2350.72 2351.74 SPEAKER_06  But that's like 20 minutes.
2352.90 2355.40 SPEAKER_02  This is like seven months at this point.
2355.58 2355.92 SPEAKER_02  Yeah.
2356.24 2356.84 SPEAKER_02  Eight months.
2357.16 2357.54 SPEAKER_02  Nine months.
2357.72 2359.66 SPEAKER_01  Maybe they should have gone across the street and tried holding him.
2360.20 2366.20 SPEAKER_02  Maybe they should have just like turned to him and said, hey bud, are you feeling some big feelings right now?
